depth	min95%	max95%	best	acc.rate
5	5837	6604	6084	16.56
10	5931	6665	6166	16.56
15	6025	6730	6249	16.56
20	6119	6795	6332	16.56
70	7041	7422	7160	16.55
75	7131	7488	7243	16.5
80	7207	7554	7325	16.39
85	7283	7620	7407	16.22
90	7359	7685	7487	16
100	7506	7818	7645	15.38
130	7895	8171	8064	12.16
150	8101	8384	8278	8.88
160	8182	8472	8358	6.94
165	8216	8511	8391	6.02
170	8246	8545	8419	5.19
175	8272	8576	8444	4.42
180	8295	8603	8464	3.74
190	8331	8645	8496	2.59
195	8345	8663	8508	2.14
210	8378	8699	8533	1.22
225	8402	8730	8549	0.99
230	8412	8737	8554	1.07
235	8421	8744	8560	1.22
240	8433	8752	8566	1.44
245	8446	8760	8574	1.75
260	8499	8790	8609	3.12
265	8522	8805	8626	3.73
275	8569	8837	8669	4.9
280	8592	8855	8694	5.37
285	8619	8877	8722	5.77
295	8668	8923	8782	6.33
305	8718	8972	8847	6.59
325	8830	9078	8977	6.22
330	8859	9106	9008	6.04
335	8890	9127	9038	5.87
340	8924	9151	9067	5.71
355	9023	9229	9149	5.32
360	9054	9254	9176	5.22
365	9092	9281	9202	5.13
370	9125	9308	9227	5.05
380	9182	9368	9277	4.94
395	9240	9456	9351	4.86
400	9256	9486	9375	4.86
405	9271	9517	9399	4.86
415	9302	9581	9448	4.86
440	9372	9747	9569	4.86
445	9388	9783	9594	NA
