depth	min95%	max95%	best	acc.rate
0	-92	101	0	27.46
1	-63	128	28	27.46
2	-35	154	55	27.46
3	-6	180	83	27.46
4	23	206	110	27.46
5	52	232	138	27.46
6	81	259	165	27.46
7	109	285	192	27.46
8	137	312	220	27.46
9	164	340	247	27.46
10	193	366	275	27.46
11	221	394	302	27.46
12	249	421	330	27.46
13	277	449	357	27.46
14	304	475	385	27.46
15	330	502	412	27.46
16	356	528	440	27.46
17	382	554	467	27.46
18	408	581	495	27.46
19	434	608	522	27.46
20	461	636	549	27.46
21	489	663	577	27.46
22	518	691	604	27.46
23	544	719	632	27.46
24	570	745	659	27.46
25	597	772	687	27.46
26	624	801	714	27.46
27	650	831	742	27.46
28	676	857	769	27.46
29	702	884	797	27.46
30	728	911	824	27.46
31	755	939	852	27.46
32	780	968	879	27.46
33	806	998	907	27.46
34	831	1027	934	27.46
35	857	1056	961	27.46
36	882	1085	989	27.46
37	908	1114	1016	27.46
38	934	1141	1044	27.46
39	960	1169	1071	27.46
40	985	1197	1099	27.46
41	1012	1224	1126	27.46
42	1038	1252	1154	27.46
43	1065	1281	1181	27.46
44	1090	1309	1209	27.46
45	1116	1337	1236	27.46
46	1142	1366	1264	27.46
47	1168	1396	1291	27.46
48	1193	1423	1318	27.46
49	1219	1452	1346	27.46
50	1245	1481	1373	27.46
51	1270	1511	1401	27.46
52	1296	1540	1428	27.46
53	1321	1571	1456	27.46
54	1346	1599	1483	27.46
55	1370	1629	1511	27.46
56	1396	1658	1538	27.46
57	1421	1686	1566	27.46
58	1447	1716	1593	27.46
59	1472	1746	1621	27.46
60	1497	1776	1648	27.46
61	1521	1804	1676	27.46
62	1545	1832	1703	27.46
63	1570	1860	1730	27.46
64	1594	1890	1758	27.46
65	1619	1920	1785	27.46
66	1644	1950	1813	27.46
67	1670	1980	1840	27.46
68	1695	2010	1868	27.46
69	1720	2040	1895	27.46
70	1746	2070	1923	27.46
71	1771	2100	1950	27.46
72	1795	2130	1978	27.46
73	1820	2160	2005	27.46
74	1845	2190	2033	27.46
75	1871	2220	2060	27.46
76	1896	2250	2087	27.46
77	1921	2280	2115	27.46
78	1945	2309	2142	27.46
79	1969	2338	2170	27.46
80	1994	2368	2197	31.28
81	2026	2395	2229	35.1
82	2065	2421	2264	35.1
83	2105	2457	2299	35.1
84	2146	2491	2334	35.1
85	2188	2529	2369	35.1
86	2227	2564	2404	35.1
87	2266	2602	2439	35.1
88	2304	2638	2474	35.1
89	2340	2672	2509	35.1
90	2376	2704	2545	35.1
91	2410	2741	2580	35.1
92	2444	2775	2615	35.1
93	2479	2810	2650	35.1
94	2514	2846	2685	35.1
95	2549	2881	2720	35.1
96	2584	2919	2755	35.1
97	2618	2958	2790	35.1
98	2653	3001	2825	35.1
99	2683	3042	2860	35.1
100	2715	3084	2896	35.1
101	2747	3125	2931	35.1
102	2782	3166	2966	35.1
103	2811	3207	3001	35.1
104	2840	3246	3036	35.1
105	2873	3292	3071	35.1
106	2904	3333	3106	35.1
107	2933	3371	3141	35.1
108	2963	3410	3176	35.1
109	2994	3454	3211	35.1
110	3025	3498	3247	35.1
111	3055	3539	3282	35.1
112	3085	3578	3317	35.1
113	3111	3618	3352	35.1
114	3142	3660	3387	35.1
115	3173	3704	3422	35.1
116	3201	3746	3457	35.1
117	3228	3790	3492	35.1
118	3255	3834	3527	35.1
119	3284	3878	3563	35.1
120	3314	3920	3598	35.1
121	3342	3962	3633	35.1
122	3370	4004	3668	35.1
123	3398	4045	3703	35.1
124	3424	4089	3738	35.1
125	3451	4135	3773	35.1
126	3477	4182	3808	35.1
127	3504	4228	3843	35.1
128	3533	4275	3878	-46.68
129	3555	4154	3832	-46.68
130	3564	4036	3785	-46.68
131	3564	3927	3738	-46.68
132	3558	3832	3692	-46.68
133	3549	3747	3645	-46.68
134	3506	3694	3598	32.4
135	3540	3724	3631	32.4
136	3573	3759	3663	32.4
137	3600	3793	3696	32.4
138	3627	3833	3728	32.4
139	3650	3871	3760	32.4
140	3679	3912	3793	32.4
141	3709	3952	3825	32.4
142	3731	3996	3858	32.4
143	3755	4041	3890	32.4
144	3778	4085	3922	32.4
145	3802	4126	3955	32.4
146	3819	4170	3987	32.4
147	3839	4209	4020	32.4
148	3863	4252	4052	32.4
149	3887	4299	4084	32.4
150	3910	4346	4117	32.4
151	3931	4392	4149	32.4
152	3954	4439	4182	32.4
153	3976	4487	4214	32.4
154	3995	4533	4246	32.4
155	4018	4580	4279	32.4
156	4037	4627	4311	32.4
157	4060	4674	4344	32.4
158	4083	4719	4376	32.4
159	4106	4763	4408	32.4
160	4128	4811	4441	32.4
161	4151	4860	4473	32.4
162	4174	4908	4506	32.4
163	4196	4955	4538	32.4
164	4217	5002	4570	32.4
165	4239	5048	4603	32.4
166	4260	5093	4635	32.4
167	4281	5141	4668	32.4
168	4302	5189	4700	32.4
169	4323	5236	4732	32.4
170	4343	5283	4765	32.4
171	4359	5330	4797	32.4
172	4376	5376	4830	32.4
173	4393	5423	4862	32.4
174	4415	5470	4894	32.4
175	4436	5517	4927	32.4
176	4458	5564	4959	32.4
177	4480	5610	4992	32.4
178	4502	5657	5024	32.4
179	4524	5702	5056	32.4
180	4545	5747	5089	32.4
181	4564	5792	5121	32.4
182	4583	5838	5154	32.4
183	4602	5883	5186	NA
