"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	1	1	1	1	4
1	1	1	1	1	4
2	1	1	1	1	4
3	1	1	1	1	4
4	1	1	1	1	4
5	1	1	1	1	4
6	1	1	1	1	4
7	1	1	1	1	4
8	1	1	1	1	4
9	1	1	1	1	4
10	1	1	1	1	4
11	1	1	1	1	4
12	1	1	1	1	4
13	1	1	1	1	4
14	1	1	1	1	4
15	1	1	1	1	4
16	1	1	1	1	4
17	1	1	1	1	4
18	1	1	1	1	4
19	1	1	1	0	3
20	1	1	1	0	3
21	1	1	1	0	3
22	1	1	1	0	3
23	1	1	1	0	3
24	1	1	1	0	3
25	1	1	1	0	3
26	1	1	1	0	3
27	1	1	1	0	3
28	1	1	1	0	3
29	1	1	1	0	3
30	1	1	1	0	3
31	1	1	1	0	3
32	1	1	1	0	3
33	1	1	1	0	3
34	1	1	1	0	3
35	1	1	1	0	3
36	1	1	1	0	3
37	1	1	0	0	2
38	1	1	0	0	2
39	1	1	0	0	2
40	1	1	0	0	2
41	1	1	0	0	2
42	1	1	0	0	2
43	1	1	0	0	2
44	1	1	0	0	2
45	1	1	1	1	4
46	1	1	1	1	4
47	1	1	1	1	4
48	1	1	1	1	4
49	1	1	1	1	4
50	1	1	1	1	4
51	1	1	1	1	4
52	1	1	1	1	4
53	1	1	1	1	4
54	1	1	1	1	4
55	1	1	1	1	4
56	1	1	1	1	4
57	1	1	1	1	4
58	1	1	1	1	4
59	1	1	1	1	4
60	1	1	1	1	4
61	1	1	1	1	4
62	1	1	1	1	4
63	1	1	1	1	4
64	1	1	1	1	4
65	1	1	1	1	4
66	1	1	1	1	4
67	1	1	1	1	4
68	1	1	1	1	4
69	1	1	1	1	4
70	1	1	1	1	4
71	1	1	1	1	4
72	1	1	1	1	4
73	1	1	1	1	4
74	1	1	1	1	4
75	1	1	1	1	4
76	1	1	1	1	4
77	1	1	1	1	4
78	1	1	1	1	4
79	1	1	1	1	4
80	1	1	1	1	4
81	1	1	1	1	4
82	1	1	1	1	4
83	1	1	1	1	4
84	1	1	1	1	4
85	1	1	1	1	4
86	1	1	1	1	4
87	1	1	1	1	4
88	1	1	1	1	4
89	1	1	1	1	4
90	1	1	1	1	4
91	1	1	1	1	4
92	1	1	1	1	4
93	1	1	1	1	4
94	1	1	1	1	4
95	1	1	1	1	4
96	1	1	1	1	4
97	1	1	1	1	4
98	1	1	1	1	4
99	1	1	1	1	4
100	1	1	1	1	4
101	1	1	1	1	4
102	1	1	1	1	4
103	1	1	1	1	4
104	1	1	1	1	4
105	1	1	1	1	4
106	1	1	1	1	4
107	1	1	1	1	4
108	1	1	1	1	4
109	1	1	1	1	4
110	1	1	1	1	4
111	1	1	1	1	4
112	1	1	1	1	4
113	1	1	1	1	4
114	1	1	1	1	4
115	1	1	1	1	4
116	1	1	1	1	4
117	1	1	1	1	4
118	1	1	1	1	4
119	1	1	1	1	4
120	1	1	1	1	4
121	1	1	1	1	4
122	1	1	1	1	4
123	1	1	1	1	4
124	1	1	1	1	4
125	1	1	1	1	4
126	1	1	1	1	4
127	1	1	1	1	4
128	1	1	1	1	4
129	1	1	1	1	4
130	1	1	1	1	4
131	1	1	1	1	4
132	1	1	1	1	4
133	1	1	1	1	4
134	1	1	1	1	4
135	1	1	1	1	4
136	1	1	1	1	4
137	1	1	1	1	4
138	1	1	1	1	4
139	1	1	1	1	4
140	1	1	1	1	4
141	1	1	1	1	4
142	1	1	1	1	4
143	1	1	1	1	4
144	1	1	1	1	4
145	1	1	1	1	4
146	1	1	1	1	4
147	1	1	1	1	4
148	1	1	1	1	4
149	1	1	1	1	4
150	1	1	1	1	4
151	1	1	1	1	4
152	1	1	1	1	4
153	1	1	1	1	4
154	1	1	1	1	4
155	1	1	1	1	4
156	1	1	1	1	4
157	1	1	1	1	4
158	1	1	1	1	4
159	1	1	1	1	4
160	1	1	1	1	4
161	1	1	1	1	4
162	1	1	1	1	4
163	1	1	1	1	4
164	1	1	1	1	4
165	1	1	1	1	4
166	1	1	1	1	4
167	1	1	1	1	4
168	1	1	1	1	4
169	1	1	1	1	4
170	1	1	1	1	4
171	1	1	1	1	4
172	1	1	1	1	4
173	1	1	1	1	4
174	0	1	1	1	3
175	0	1	1	1	3
176	0	1	1	1	3
177	0	1	1	1	3
178	0	1	1	1	3
179	0	1	1	1	3
180	0	1	1	1	3
181	0	1	1	1	3
182	0	1	1	1	3
183	0	1	1	1	3
