"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
1	0	1	1	1	3
5	0	1	1	1	3
26	0	1	1	1	3
31	0	1	1	1	3
51	0	1	1	1	3
56	0	1	1	1	3
61	0	1	1	1	3
75	0	1	1	1	3
80	0	1	1	1	3
85	0	1	1	1	3
90	0	1	1	1	3
101	0	1	1	1	3
105	0	1	1	1	3
110	0	1	1	1	3
115	0	1	1	1	3
120	0	1	1	1	3
126	0	1	1	1	3
130	0	1	1	1	3
135	0	1	1	1	3
140	0	1	1	1	3
151	0	1	1	1	3
155	0	1	1	1	3
160	0	1	1	1	3
165	0	1	1	1	3
170	0	1	1	1	3
176	0	1	1	1	3
180	0	1	1	1	3
185	0	1	1	1	3
190	0	1	1	1	3
194	0	1	1	1	3
201	0	1	1	1	3
205	0	1	1	1	3
210	0	1	1	1	3
215	0	1	1	1	3
226	0	1	1	1	3
230	0	1	1	1	3
235	0	1	1	1	3
240	0	1	1	1	3
244	0	1	1	1	3
251	0	1	1	1	3
255	0	1	1	1	3
260	0	1	1	1	3
269	0	1	1	1	3
276	0	1	1	1	3
280	0	1	1	1	3
285	0	1	1	1	3
290	0	1	1	1	3
293	0	1	1	1	3
301	0	1	1	1	3
305	0	1	1	1	3
310	0	1	1	1	3
315	0	1	1	1	3
320	0	1	1	1	3
326	0	1	1	1	3
330	0	1	1	1	3
335	0	1	1	1	3
342	0	1	1	1	3
351	0	1	1	1	3
355	0	1	1	1	3
360	0	1	1	1	3
365	0	1	1	1	3
369	0	1	1	1	3
376	0	1	1	1	3
380	0	1	1	1	3
385	0	1	1	1	3
390	0	1	1	1	3
393	0	1	1	1	3
401	0	1	1	1	3
405	0	1	1	1	3
410	0	1	1	1	3
415	0	1	1	1	3
420	0	1	1	0	2
426	0	1	1	0	2
430	0	1	0	0	1
435	0	1	0	0	1
445	1	1	1	1	4
451	1	1	1	1	4
455	1	1	1	1	4
460	1	1	1	0	3
465	1	1	0	0	2
470	1	1	0	0	2
476	1	1	1	1	4
480	1	1	1	1	4
485	1	1	1	1	4
501	1	1	0	0	2
505	1	1	0	0	2
510	1	1	0	0	2
515	1	1	0	0	2
517	1	1	0	0	2
526	1	1	1	1	4
530	1	1	1	1	4
535	1	1	1	1	4
537	1	1	1	1	4
551	1	1	1	1	4
555	1	1	1	1	4
560	1	1	1	1	4
565	1	1	1	1	4
570	1	1	1	1	4
576	1	1	1	0	3
580	1	1	1	0	3
585	1	1	1	0	3
590	1	1	0	0	2
595	1	1	0	0	2
601	1	1	0	0	2
605	1	1	0	0	2
610	1	1	0	0	2
615	1	0	0	0	1
620	1	1	0	0	2
626	1	1	0	0	2
630	1	1	0	0	2
635	1	1	0	0	2
640	1	1	0	0	2
