depth	min95%	max95%	best	acc.rate
1	-108	222	39	2.67
5	-91	224	49	2.67
26	-6	240	105	2.67
31	15	247	119	2.67
51	81	283	173	2.74
56	94	293	186	2.77
61	108	304	200	2.82
75	146	337	241	2.98
80	160	349	256	3.05
85	174	364	271	3.13
90	188	376	287	3.21
101	224	409	323	3.43
105	238	420	337	3.52
110	256	436	355	3.64
115	273	452	374	3.77
120	292	467	393	3.9
126	316	487	416	4.07
130	332	505	433	4.19
135	351	529	454	4.34
140	371	553	476	4.5
151	418	609	527	4.82
155	436	631	547	4.92
160	459	658	572	5.05
165	483	686	597	5.17
170	508	714	623	5.28
176	538	748	655	5.41
180	558	771	677	5.49
185	585	802	705	5.58
190	611	834	733	5.67
194	634	858	755	5.73
201	673	899	796	5.84
205	696	924	819	5.89
210	726	957	849	5.95
215	756	988	879	6
226	819	1057	945	6.09
230	841	1081	970	6.11
235	873	1112	1000	6.14
240	902	1144	1031	6.15
244	927	1168	1056	6.16
251	971	1213	1099	6.17
255	997	1238	1123	6.16
260	1032	1267	1154	6.15
269	1095	1327	1209	6.12
276	1148	1372	1252	6.07
280	1171	1398	1276	6.04
285	1210	1431	1306	6
290	1247	1463	1336	5.94
293	1262	1483	1354	5.91
301	1294	1535	1401	5.81
305	1305	1563	1424	5.77
310	1323	1599	1453	5.73
315	1333	1634	1482	5.71
320	1341	1667	1510	5.7
326	1347	1710	1544	5.7
330	1352	1739	1567	5.72
335	1358	1778	1596	5.75
342	1368	1853	1636	5.81
351	1389	1991	1689	5.93
355	1402	2065	1713	6
360	1421	2158	1743	6.1
365	1438	2266	1774	6.22
369	1453	2361	1799	6.48
376	1484	2558	1847	7.56
380	1505	2671	1879	8.55
385	1544	2820	1924	10.15
390	1593	2977	1979	12.17
393	1627	3079	2017	13.57
401	1743	3366	2140	18.05
405	1819	3520	2217	20.69
410	1930	3722	2327	24.35
415	2061	3935	2457	28.43
420	2209	4159	2608	32.92
426	2421	4445	2820	38.85
430	2588	4644	2982	43.13
435	2806	4905	3209	48.86
445	3315	5466	3753	61.54
451	3667	5826	4141	68.67
455	3928	6071	4421	72.55
460	4272	6376	4792	76.4
465	4637	6693	5180	79.15
470	5003	7009	5580	80.8
476	5466	7376	6067	81.33
480	5776	7619	6392	80.8
485	6172	7917	6793	79.15
501	7416	8815	8008	72.36
505	7730	9039	8295	70.64
510	8101	9296	8644	68.47
515	8467	9552	8982	66.28
517	8612	9650	9114	65.4
526	9236	10088	9687	61.42
530	9501	10289	9930	59.63
535	9838	10557	10224	57.38
537	9974	10671	10338	56.48
551	10806	11435	11091	51.07
555	11031	11641	11294	49.85
560	11306	11890	11540	48.5
565	11565	12133	11780	47.26
570	11799	12369	12014	46.07
576	12067	12641	12287	44.73
580	12230	12821	12465	43.87
585	12432	13034	12682	42.85
590	12629	13246	12895	41.89
595	12824	13457	13102	40.99
601	13058	13702	13346	39.98
605	13213	13868	13505	39.35
610	13411	14072	13700	38.62
615	13605	14280	13892	37.94
620	13800	14479	14080	37.32
626	14034	14719	14302	36.65
630	14188	14872	14448	36.25
635	14376	15056	14629	35.8
640	14559	15264	14807	35.41
