"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
1	0	1	1	1	3
5	0	1	1	1	3
26	0	1	1	1	3
31	1	1	1	1	4
51	1	1	1	1	4
56	1	1	1	1	4
61	1	1	1	1	4
75	1	1	1	1	4
80	1	1	1	1	4
85	1	1	1	1	4
90	1	1	1	1	4
101	1	1	1	1	4
105	1	1	1	1	4
110	1	1	1	1	4
115	1	1	1	1	4
120	1	1	1	1	4
126	1	1	1	1	4
130	1	1	1	1	4
135	1	1	1	1	4
140	1	1	1	1	4
151	1	1	1	1	4
155	1	1	1	1	4
160	1	1	1	1	4
165	1	1	1	1	4
170	1	1	1	1	4
176	1	1	1	1	4
180	1	1	1	1	4
185	1	1	1	1	4
190	1	1	1	1	4
194	1	1	1	1	4
201	1	1	1	1	4
205	1	1	1	1	4
210	1	1	1	1	4
215	1	1	1	1	4
226	1	1	1	1	4
230	1	1	1	1	4
235	1	1	1	1	4
240	1	1	1	1	4
244	1	1	1	1	4
251	1	1	1	1	4
255	1	1	1	1	4
260	1	1	1	1	4
269	1	1	1	1	4
276	1	1	1	1	4
280	1	1	1	1	4
285	1	1	1	1	4
290	1	1	1	1	4
293	1	1	1	1	4
301	1	1	1	1	4
305	1	1	1	1	4
310	1	1	1	1	4
315	1	1	1	1	4
320	1	1	1	1	4
326	1	1	1	1	4
330	1	1	1	1	4
335	1	1	1	1	4
342	1	1	1	1	4
351	1	1	1	1	4
355	1	1	1	1	4
360	1	1	1	1	4
365	1	1	1	1	4
369	1	1	1	1	4
376	1	1	1	1	4
380	1	1	1	1	4
385	1	1	1	1	4
390	1	1	1	1	4
393	1	1	1	1	4
401	1	1	1	1	4
405	1	1	1	1	4
410	1	1	1	1	4
415	1	1	1	1	4
420	1	1	1	1	4
426	1	1	1	1	4
430	1	1	1	1	4
435	1	1	1	1	4
445	1	1	1	1	4
451	0	1	1	1	3
455	0	1	1	1	3
460	0	1	1	1	3
465	0	1	1	1	3
470	0	1	1	1	3
476	0	1	1	1	3
480	0	1	1	1	3
485	0	1	1	1	3
501	0	1	1	0	2
505	0	1	1	0	2
510	0	1	1	0	2
515	0	1	1	1	3
517	0	1	1	1	3
526	0	1	1	1	3
530	0	1	1	1	3
535	0	1	1	1	3
537	0	1	1	1	3
551	0	1	1	1	3
555	0	1	1	1	3
560	0	1	1	1	3
565	0	1	1	1	3
570	0	1	1	1	3
576	0	1	1	0	2
580	0	1	1	0	2
585	0	1	1	0	2
590	0	1	0	0	1
595	0	1	0	0	1
601	0	1	0	0	1
605	0	1	0	0	1
610	0	1	0	0	1
615	0	0	0	0	0
620	0	0	0	0	0
626	0	1	0	0	1
630	0	1	0	0	1
635	0	1	0	0	1
640	0	1	0	0	1
