depth	min95%	max95%	best	acc.rate
0	-102	93	0	9.22
12.5	2	207	115	9.22
25	53	358	230	9.22
37.5	95	517	346	9.22
50	136	692	461	27.31
62.5	520	992	802	27.31
75	902	1312	1144	27.31
87.5	1289	1645	1485	27.31
100	1662	1987	1826	27.31
112.5	2018	2346	2168	27.31
125	2350	2707	2509	27.31
137.5	2653	3087	2851	27.31
150	2941	3476	3192	27.31
162.5	3229	3869	3533	27.31
175	3521	4269	3875	27.31
187.5	3811	4667	4216	27.31
200	4101	5068	4558	27.31
212.5	4390	5465	4899	27.31
225	4675	5863	5240	27.31
237.5	4959	6262	5582	27.31
250	5244	6659	5923	NA
