depth	min95%	max95%	best	acc.rate
0	-48	154	24	11.52
12.5	94	287	168	11.47
25	232	422	311	11.33
37.5	368	557	451	11.11
50	500	681	588	10.78
62.5	630	814	721	10.38
75	753	942	847	9.87
87.5	871	1063	968	9.29
100	982	1177	1080	8.59
112.5	1084	1276	1183	7.88
125	1179	1370	1277	7.17
137.5	1259	1459	1363	6.51
150	1338	1540	1440	5.83
162.5	1398	1615	1509	5.22
175	1448	1691	1571	4.64
187.5	1495	1770	1626	4.14
200	1529	1842	1675	3.67
212.5	1555	1916	1719	3.27
225	1580	1984	1758	2.92
237.5	1596	2052	1792	2.62
250	1607	2117	1823	2.38
275.5	1621	2248	1880	2.06
300	1627	2367	1928	NA
