depth	min95%	max95%	best	acc.rate
30	-150	41	-51	27.68
35	-3	171	87	27.68
40	143	302	226	27.68
45	289	432	364	27.68
49	405	540	475	27.68
55	577	704	641	27.68
60	720	842	779	27.68
65	864	980	918	27.68
70	1005	1120	1056	27.68
74	1115	1233	1167	27.68
80	1280	1403	1333	27.68
85	1417	1547	1471	27.68
90	1552	1690	1610	79.74
95	1951	2087	2008	79.74
99	2268	2409	2327	79.74
104	2665	2811	2726	79.74
110	3142	3296	3204	79.74
178	8509	8852	8627	79.74
202	10397	10814	10540	79.74
205	10633	11059	10780	79.74
215	11544	11983	11694	118.76
231	13447	13846	13594	118.76
240	14513	14896	14663	118.76
249	15569	15948	15732	118.76
250	15686	16066	15851	118.76
260	16857	17253	17038	118.76
265	17444	17852	17632	118.76
274	18495	18933	18701	118.76
278	18964	19411	19176	118.76
290	20358	20868	20601	118.76
295	20930	21475	21195	118.76
299	21393	21958	21670	118.76
304	21974	22565	22264	118.76
310	22671	23296	22977	118.76
315	22863	23446	23150	13.66
320	22963	23479	23218	13.66
324	23012	23519	23273	13.66
330	23075	23598	23355	13.66
335	23110	23690	23423	13.66
340	23144	23793	23491	13.66
345	23214	23931	23597	50.51
349	23429	24129	23799	50.51
353	23635	24327	24001	50.51
355	23732	24429	24102	50.51
360	23982	24686	24354	50.51
365	24235	24963	24607	50.51
370	24479	25234	24859	50.51
374	24670	25455	25061	50.51
385	25198	26087	25617	50.51
390	25430	26378	25869	50.51
395	25663	26665	26122	50.51
399	25833	26888	26324	50.51
404	26052	27176	26577	50.51
410	26323	27513	26880	50.51
415	26556	27810	27132	50.51
420	26771	28104	27385	50.51
424	26945	28341	27587	50.51
431	27272	28767	27940	50.51
435	27452	29005	28142	50.51
440	27667	29306	28395	50.51
445	27888	29619	28647	50.51
449	28065	29859	28849	50.51
452	28195	30039	29001	50.51
455	28328	30215	29153	50.51
460	28547	30511	29405	50.51
465	28766	30811	29658	50.51
470	28981	31109	29910	50.51
474	29154	31347	30112	50.51
478	29329	31588	30314	50.51
480	29419	31706	30415	50.51
485	29643	31999	30668	50.51
490	29866	32301	30920	50.51
495	30086	32603	31173	50.51
499	30262	32845	31375	50.51
505	30525	33207	31678	50.51
510	30745	33509	31931	50.51
515	30965	33812	32183	50.51
520	31185	34111	32436	50.51
524	31361	34354	32638	50.51
528	31537	34597	32840	50.51
530	31625	34718	32941	50.51
535	31844	35020	33193	50.51
540	32064	35322	33446	50.51
545	32280	35624	33698	50.51
549	32452	35865	33900	50.51
577	33666	37558	35315	50.51
585	34016	38039	35719	50.51
595	34453	38636	36224	50.51
599	34628	38874	36426	50.51
613	35241	39708	37133	50.51
620	35547	40130	37486	50.51
624	35722	40374	37688	NA
