depth	min95%	max95%	best	acc.rate
30	-4398	-2944	-3289	80.61
35	-3890	-2564	-2886	80.61
40	-3389	-2184	-2483	80.61
45	-2898	-1803	-2080	80.61
49	-2497	-1500	-1758	80.61
55	-1902	-1044	-1274	80.61
60	-1412	-662	-871	80.61
65	-911	-280	-468	80.61
70	-431	101	-65	80.61
74	-37	406	257	80.61
80	521	864	741	80.61
85	972	1252	1144	80.61
90	1368	1661	1547	80.61
95	1765	2108	1950	80.64
99	2082	2504	2273	80.7
104	2469	3000	2677	80.83
110	2951	3605	3162	81.06
178	8499	10293	8889	89.22
202	10579	12640	11090	94.55
205	10851	12933	11374	95.31
215	11761	13898	12339	97.91
231	13247	15415	13929	100.69
240	14104	16265	14838	101.3
249	14950	17114	15750	101.25
250	15046	17209	15851	101.2
260	15991	18150	16860	100.25
265	16468	18599	17360	99.47
274	17321	19386	18248	97.52
278	17697	19728	18636	96.44
290	18805	20741	19772	92.39
295	19263	21117	20230	90.35
299	19623	21436	20589	88.57
304	20069	21852	21027	86.15
310	20594	22290	21536	82.97
315	21021	22633	21946	80.25
320	21439	22980	22342	77.72
324	21767	23272	22650	75.83
330	22249	23708	23098	73.23
335	22640	24088	23460	71.27
340	23023	24464	23813	69.5
345	23406	24826	24157	67.92
349	23687	25102	24427	66.71
353	23971	25392	24692	65.54
355	24109	25530	24823	64.96
360	24442	25892	25145	63.56
365	24773	26251	25460	62.21
370	25089	26584	25768	60.91
374	25348	26852	26011	59.9
385	25977	27691	26656	57.3
390	26260	28059	26940	56.2
395	26531	28407	27219	55.14
399	26743	28719	27439	54.34
404	26997	29057	27708	53.37
410	27294	29425	28026	52.28
415	27527	29745	28286	51.43
420	27768	30084	28541	50.62
424	27947	30339	28743	50.02
431	28279	30810	29090	49.03
435	28464	31082	29285	48.51
440	28695	31422	29526	47.91
445	28922	31737	29765	47.35
449	29094	32000	29954	46.94
452	29226	32195	30094	46.66
455	29357	32390	30234	46.39
460	29571	32712	30465	45.98
465	29778	33057	30694	45.63
470	29980	33389	30922	45.32
474	30144	33632	31103	45.11
478	30298	33875	31283	44.93
480	30378	33996	31373	44.86
485	30573	34322	31597	44.7
490	30772	34644	31820	44.59
495	30980	34975	32043	44.54
499	31143	35240	32221	44.52
505	31367	35642	32488	44.52
510	31563	35977	32710	44.52
515	31755	36313	32933	44.52
520	31943	36648	33156	44.52
524	32098	36916	33334	44.52
528	32242	37184	33512	44.52
530	32316	37318	33601	44.52
535	32499	37653	33824	44.52
540	32678	37987	34046	44.52
545	32855	38320	34269	44.52
549	33010	38578	34447	44.52
577	34089	40457	35694	44.52
585	34367	40994	36050	44.52
595	34750	41665	36495	44.52
599	34902	41933	36673	44.52
613	35393	42872	37297	44.52
620	35644	43342	37608	44.52
624	35788	43611	37786	NA
