"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
30	1	1	1	1	4
35	1	1	1	0	3
40	1	1	1	0	3
45	1	1	1	0	3
49	1	1	0	0	2
55	1	1	0	0	2
60	1	1	0	0	2
65	1	1	0	0	2
70	1	1	1	1	4
74	1	1	1	1	4
80	1	1	1	1	4
85	1	1	1	1	4
90	1	1	1	1	4
95	1	1	1	1	4
99	1	1	1	1	4
104	1	1	1	0	3
110	1	1	0	0	2
178	1	0	0	0	1
202	1	1	0	0	2
205	1	1	1	1	4
215	1	1	1	1	4
231	1	1	1	0	3
240	1	1	0	0	2
249	1	0	0	0	1
250	1	0	0	0	1
260	1	0	0	0	1
265	1	0	0	0	1
274	1	0	0	0	1
278	1	0	0	0	1
290	1	1	0	0	2
295	1	1	0	0	2
299	1	1	1	1	4
304	1	1	1	1	4
310	1	1	1	1	4
315	1	1	1	1	4
320	1	1	1	0	3
324	1	1	0	0	2
330	1	1	1	1	4
335	1	1	1	1	4
340	1	1	1	1	4
345	1	1	1	1	4
349	1	1	1	1	4
353	1	1	1	0	3
355	1	1	1	0	3
360	1	1	0	0	2
365	1	1	0	0	2
370	1	1	0	0	2
374	1	0	0	0	1
385	1	0	0	0	1
390	1	0	0	0	1
395	1	0	0	0	1
399	1	0	0	0	1
404	1	1	0	0	2
410	1	1	0	0	2
415	1	1	0	0	2
420	1	1	0	0	2
424	1	1	1	1	4
431	1	1	1	1	4
435	1	1	1	1	4
440	1	1	1	1	4
445	1	1	1	1	4
449	1	1	1	1	4
452	1	1	1	1	4
455	1	1	1	0	3
460	1	1	1	0	3
465	1	1	0	0	2
470	1	1	0	0	2
474	1	1	0	0	2
478	1	1	0	0	2
480	1	1	0	0	2
485	1	1	0	0	2
490	1	1	0	0	2
495	1	1	0	0	2
499	1	1	0	0	2
505	0	1	1	1	3
510	0	1	1	1	3
515	0	1	1	1	3
520	0	1	1	1	3
524	0	1	1	1	3
528	0	1	1	1	3
530	0	1	1	1	3
535	0	1	1	1	3
540	0	1	1	0	2
545	0	1	1	0	2
549	0	1	0	0	1
577	0	0	0	0	0
585	0	0	0	0	0
595	0	0	0	0	0
599	0	0	0	0	0
613	0	0	0	0	0
620	0	0	0	0	0
624	0	0	0	0	0
