depth	min95%	max95%	best	acc.rate
0	-94	99	1	4.42
10	-47	140	45	4.42
20	2	180	89	4.42
30	50	221	133	4.42
40	97	263	178	4.42
50	143	305	222	4.42
60	190	345	266	4.42
70	237	385	310	4.42
80	283	427	355	4.42
90	326	470	399	4.42
100	371	512	443	4.42
110	416	555	487	4.42
120	462	597	531	4.42
130	505	639	576	4.42
140	548	682	620	4.42
150	590	728	664	4.42
160	633	771	708	4.42
170	675	815	753	4.42
180	717	858	797	4.42
190	758	902	841	4.42
200	797	945	885	4.42
210	835	991	930	4.42
220	874	1036	974	4.42
230	913	1084	1018	4.42
240	952	1131	1062	4.42
250	990	1178	1107	4.42
260	1031	1224	1151	4.42
270	1067	1269	1195	4.42
280	1105	1316	1239	10.37
290	1214	1418	1343	10.37
300	1323	1520	1447	10.37
310	1432	1621	1550	10.37
320	1539	1724	1654	10.37
330	1647	1828	1758	10.37
340	1756	1931	1861	10.37
350	1866	2034	1965	10.37
360	1973	2136	2069	10.37
370	2077	2242	2173	10.37
380	2181	2346	2276	10.37
390	2287	2451	2380	10.37
400	2389	2556	2484	10.37
410	2495	2662	2587	10.37
420	2596	2765	2691	10.37
430	2700	2870	2795	10.37
440	2801	2975	2898	10.37
450	2903	3081	3002	10.37
460	3007	3186	3106	10.37
470	3108	3291	3210	10.37
480	3210	3397	3313	10.37
490	3312	3503	3417	10.37
500	3414	3608	3521	10.37
510	3515	3714	3624	10.37
520	3616	3819	3728	10.37
530	3716	3925	3832	10.37
540	3815	4031	3936	10.37
550	3916	4139	4039	10.37
560	4015	4245	4143	10.37
570	4115	4353	4247	10.37
580	4214	4459	4350	10.37
590	4313	4567	4454	10.37
600	4412	4674	4558	NA
