depth	min95%	max95%	best	acc.rate
630	32385	33483	32912	238.24
635	33653	34580	34103	238.24
640	34756	35620	35175	238.24
645	35923	36793	36367	238.24
650	37024	38018	37558	238.24
655	38088	39249	38749	238.24
660	39154	40479	39940	238.24
665	40186	41726	41131	238.24
670	41229	42973	42322	238.24
675	42228	44228	43514	238.24
680	43257	45498	44705	238.24
685	44282	46767	45896	238.24
690	45305	48037	47087	238.24
695	46327	49321	48278	238.24
700	47247	50463	49350	238.24
705	48218	51755	50542	238.24
710	49236	53053	51733	238.24
715	50256	54338	52924	238.24
720	51275	55621	54115	238.24
725	52295	56905	55306	238.24
730	53301	58205	56498	238.24
735	54299	59492	57689	238.24
740	55298	60778	58880	NA
