depth	min95%	max95%	best	acc.rate
1	-3693	-212	-2081	102.39
6	-3008	105	-1570	102.39
9	-2597	295	-1262	102.39
13	-2043	549	-853	102.39
17	-1489	802	-443	102.39
21	-932	1055	-34	102.39
25	-384	1308	376	102.39
29	146	1563	785	102.39
33	683	1816	1195	102.39
37	1228	2070	1604	102.39
41	1763	2323	2014	102.39
45	2270	2613	2424	102.73
49	2754	3010	2855	123.56
53	3258	3516	3399	148.89
57	3801	4092	3988	141.58
61	4322	4669	4539	131.22
65	4826	5194	5048	120.86
69	5292	5671	5516	110.5
73	5751	6103	5943	100.15
77	6153	6497	6328	89.79
81	6501	6847	6671	79.43
85	6808	7150	6973	69.08
89	7069	7405	7235	59.65
93	7299	7623	7461	51.7
97	7504	7806	7658	45.23
101	7686	7964	7831	40.24
105	7855	8100	7986	36.73
109	7980	8238	8130	34.71
113	8085	8392	8267	34.15
117	8193	8554	8404	34.15
121	8300	8718	8540	34.15
125	8407	8896	8677	34.15
129	8515	9075	8814	34.15
133	8606	9254	8950	34.15
137	8698	9434	9087	34.15
141	8792	9620	9223	34.15
145	8882	9799	9360	34.15
149	8973	9981	9496	34.15
153	9061	10163	9633	34.15
157	9144	10346	9770	34.15
161	9237	10528	9906	34.15
169	9422	10904	10179	34.15
173	9505	11090	10316	34.15
177	9588	11276	10453	34.15
181	9670	11461	10589	34.15
185	9759	11644	10726	34.15
189	9846	11825	10862	NA
