"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
1	0	0	0	0	0
6	0	0	0	0	0
9	0	0	0	0	0
13	0	0	0	0	0
17	0	0	0	0	0
21	0	0	0	0	0
25	0	0	0	0	0
29	0	1	0	0	1
33	0	1	0	0	1
37	0	1	1	1	3
41	0	1	1	1	3
45	1	1	1	1	4
49	1	1	1	1	4
53	1	1	1	1	4
57	1	1	1	1	4
61	1	1	1	0	3
65	1	1	0	0	2
69	1	1	0	0	2
73	1	1	0	0	2
77	1	1	1	1	4
81	1	1	1	1	4
85	1	1	1	1	4
89	0	1	1	1	3
93	0	1	1	1	3
97	0	1	1	1	3
101	0	1	1	1	3
105	0	1	1	1	3
109	0	1	1	1	3
113	0	1	1	1	3
117	0	1	1	1	3
121	0	1	1	1	3
125	0	1	1	1	3
129	0	1	1	0	2
133	0	1	1	0	2
137	0	1	1	0	2
141	0	1	1	0	2
145	0	1	0	0	1
149	0	1	0	0	1
153	0	1	0	0	1
157	0	1	0	0	1
161	0	1	0	0	1
169	0	1	0	0	1
173	0	0	0	0	0
177	0	0	0	0	0
181	0	0	0	0	0
185	0	0	0	0	0
189	0	0	0	0	0
