depth	min95%	max95%	best	acc.rate
40	915	3633	2169	58.93
41	989	3675	2228	58.93
42	1063	3716	2287	58.93
43	1138	3759	2346	58.93
44	1212	3802	2405	58.93
45	1287	3844	2463	58.93
46	1361	3885	2522	58.93
47	1435	3926	2581	58.93
48	1510	3967	2640	58.93
49	1584	4009	2699	58.93
50	1658	4050	2758	58.93
51	1733	4091	2817	58.93
52	1807	4132	2876	58.93
53	1882	4173	2935	58.93
54	1956	4215	2994	58.93
55	2030	4259	3053	58.93
56	2105	4303	3112	58.93
57	2179	4347	3171	58.93
58	2253	4391	3230	58.93
59	2325	4435	3288	58.93
60	2398	4479	3347	58.93
61	2471	4523	3406	58.93
62	2543	4564	3465	58.93
63	2616	4606	3524	58.93
64	2689	4649	3583	58.93
65	2761	4694	3642	58.93
66	2834	4736	3701	58.93
67	2907	4781	3760	58.93
68	2979	4825	3819	58.93
69	3051	4870	3878	58.93
70	3122	4911	3937	58.93
71	3192	4952	3996	58.93
72	3263	4992	4054	58.93
73	3337	5035	4113	58.93
74	3412	5081	4172	58.93
75	3485	5123	4231	58.93
76	3558	5165	4290	58.93
77	3629	5208	4349	58.93
78	3700	5250	4408	58.93
79	3773	5292	4467	58.93
80	3848	5334	4526	58.93
81	3923	5377	4585	58.93
82	3996	5422	4644	58.93
83	4068	5468	4703	58.93
84	4142	5510	4762	58.93
85	4216	5551	4821	58.93
86	4287	5593	4879	58.93
87	4359	5634	4938	58.93
88	4431	5675	4997	58.93
89	4505	5716	5056	58.93
90	4579	5758	5115	58.93
91	4652	5799	5174	58.93
92	4723	5840	5233	58.93
93	4795	5886	5292	58.93
94	4869	5933	5351	58.93
95	4943	5976	5410	58.93
96	5018	6023	5469	58.93
97	5092	6070	5528	58.93
98	5168	6116	5587	58.93
99	5241	6158	5645	58.93
100	5313	6204	5704	58.93
101	5384	6253	5763	58.93
102	5458	6298	5822	58.93
103	5531	6339	5881	58.93
104	5603	6386	5940	58.93
105	5675	6434	5999	58.93
106	5748	6483	6058	58.93
107	5817	6532	6117	58.93
108	5886	6580	6176	58.93
109	5963	6627	6235	58.93
110	6037	6667	6294	58.93
111	6109	6708	6353	58.93
112	6182	6748	6412	58.93
113	6247	6791	6470	58.93
114	6318	6841	6529	58.93
115	6388	6890	6588	58.93
116	6454	6936	6647	58.93
117	6520	6974	6706	58.93
118	6584	7012	6765	58.93
119	6650	7060	6824	58.93
120	6722	7100	6883	58.93
121	6788	7147	6942	58.93
122	6852	7193	7001	58.93
123	6910	7242	7060	58.93
124	6977	7305	7119	58.93
125	7038	7352	7178	58.93
126	7099	7402	7236	58.93
127	7159	7460	7295	58.93
128	7219	7517	7354	58.93
129	7274	7578	7413	58.93
130	7331	7644	7472	58.93
131	7379	7701	7531	58.93
132	7428	7760	7590	58.93
133	7476	7828	7649	58.93
134	7522	7899	7708	58.93
135	7569	7964	7767	58.93
136	7615	8034	7826	58.93
137	7661	8105	7885	58.93
138	7705	8175	7944	58.93
139	7751	8246	8003	58.93
140	7797	8315	8061	20.11
141	7821	8332	8082	20.11
142	7845	8349	8102	20.11
143	7869	8366	8122	20.11
144	7894	8383	8142	20.11
145	7918	8401	8162	20.11
146	7942	8416	8182	20.11
147	7966	8433	8202	20.11
148	7991	8450	8222	20.11
149	8014	8467	8242	20.11
150	8035	8485	8263	20.11
151	8059	8504	8283	20.11
152	8080	8522	8303	20.11
153	8102	8541	8323	20.11
154	8127	8559	8343	20.11
155	8149	8577	8363	20.11
156	8172	8595	8383	20.11
157	8195	8614	8403	20.11
158	8216	8637	8423	20.11
159	8239	8653	8444	20.11
160	8258	8670	8464	20.11
161	8273	8689	8484	20.11
162	8292	8708	8504	20.11
163	8311	8730	8524	20.11
164	8330	8749	8544	20.11
165	8343	8770	8564	20.11
166	8362	8791	8584	20.11
167	8385	8815	8604	20.11
168	8405	8841	8625	20.11
169	8422	8861	8645	20.11
170	8438	8885	8665	20.11
171	8459	8906	8685	20.11
172	8473	8928	8705	20.11
173	8485	8953	8725	20.11
174	8500	8976	8745	20.11
175	8516	8997	8765	20.11
176	8536	9017	8785	20.11
177	8555	9040	8806	20.11
178	8575	9065	8826	20.11
179	8598	9093	8846	20.11
180	8620	9120	8866	20.11
181	8637	9148	8886	20.11
182	8654	9175	8906	20.11
183	8672	9201	8926	20.11
184	8688	9226	8946	20.11
185	8704	9247	8966	20.11
186	8719	9268	8987	20.11
187	8735	9291	9007	20.11
188	8750	9316	9027	20.11
189	8768	9338	9047	20.11
190	8786	9364	9067	20.11
191	8802	9392	9087	20.11
192	8820	9419	9107	20.11
193	8837	9447	9127	20.11
194	8852	9474	9148	20.11
195	8868	9498	9168	20.11
196	8883	9525	9188	20.11
197	8899	9550	9208	20.11
198	8913	9576	9228	20.11
199	8927	9603	9248	20.11
200	8942	9629	9268	20.11
201	8957	9652	9288	20.11
202	8974	9675	9308	20.11
203	8989	9699	9329	20.11
204	9003	9724	9349	10.06
205	9011	9737	9359	20.11
206	9027	9761	9379	20.11
207	9043	9786	9399	20.11
208	9059	9811	9419	20.11
209	9074	9836	9439	20.11
210	9090	9861	9459	20.11
211	9106	9886	9479	20.11
212	9122	9911	9499	20.11
213	9138	9936	9520	20.11
214	9151	9960	9540	20.11
215	9164	9985	9560	20.11
216	9178	10010	9580	20.11
217	9193	10035	9600	20.11
218	9209	10060	9620	20.11
219	9224	10087	9640	20.11
220	9237	10114	9660	20.11
221	9251	10142	9680	20.11
222	9266	10170	9701	20.11
223	9278	10195	9721	20.11
224	9289	10222	9741	20.11
225	9302	10249	9761	NA
