"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
40	0	1	1	1	3
41	0	1	1	1	3
42	0	1	1	1	3
43	0	1	1	1	3
44	0	1	1	1	3
45	0	1	1	1	3
46	0	1	1	0	2
47	0	1	1	0	2
48	0	1	1	0	2
49	0	1	1	0	2
50	0	1	1	0	2
51	0	1	1	0	2
52	0	1	0	0	1
53	0	1	0	0	1
54	0	1	0	0	1
55	0	1	0	0	1
56	0	1	0	0	1
57	0	1	0	0	1
58	0	1	0	0	1
59	0	1	0	0	1
60	0	1	0	0	1
61	0	1	0	0	1
62	0	1	0	0	1
63	0	1	0	0	1
64	0	0	0	0	0
65	0	0	0	0	0
66	0	0	0	0	0
67	0	0	0	0	0
68	0	0	0	0	0
69	0	0	0	0	0
70	0	0	0	0	0
71	0	0	0	0	0
72	0	0	0	0	0
73	0	0	0	0	0
74	0	0	0	0	0
75	0	0	0	0	0
76	0	0	0	0	0
77	0	0	0	0	0
78	0	0	0	0	0
79	0	0	0	0	0
80	0	0	0	0	0
81	0	0	0	0	0
82	0	0	0	0	0
83	0	0	0	0	0
84	0	0	0	0	0
85	0	0	0	0	0
86	0	0	0	0	0
87	0	0	0	0	0
88	0	0	0	0	0
89	0	0	0	0	0
90	0	0	0	0	0
91	0	0	0	0	0
92	0	0	0	0	0
93	0	0	0	0	0
94	0	0	0	0	0
95	0	0	0	0	0
96	0	1	0	0	1
97	0	1	0	0	1
98	0	1	0	0	1
99	0	1	0	0	1
100	0	1	0	0	1
101	0	1	0	0	1
102	0	1	0	0	1
103	0	1	0	0	1
104	0	1	0	0	1
105	0	1	0	0	1
106	0	1	0	0	1
107	0	1	0	0	1
108	0	1	1	1	3
109	0	1	1	1	3
110	0	1	1	1	3
111	0	1	1	1	3
112	0	1	1	1	3
113	0	1	1	1	3
114	0	1	1	1	3
115	0	1	1	1	3
116	0	1	1	1	3
117	0	1	1	1	3
118	0	1	1	1	3
119	0	1	1	1	3
120	0	1	1	1	3
121	0	1	1	1	3
122	0	1	1	1	3
123	0	1	1	1	3
124	0	1	1	1	3
125	0	1	1	1	3
126	0	1	1	1	3
127	0	1	1	1	3
128	0	1	1	1	3
129	0	1	1	1	3
130	0	1	1	1	3
131	0	1	1	1	3
132	0	1	1	1	3
133	0	1	1	1	3
134	0	1	1	1	3
135	0	1	1	1	3
136	0	1	1	1	3
137	0	1	1	1	3
138	0	1	1	1	3
139	0	1	1	1	3
140	0	1	1	1	3
141	0	1	1	1	3
142	0	1	1	1	3
143	0	1	1	1	3
144	0	1	1	1	3
145	0	1	1	1	3
146	0	1	1	1	3
147	0	1	1	1	3
148	0	1	1	1	3
149	0	1	1	1	3
150	0	1	1	1	3
151	0	1	1	1	3
152	0	1	1	1	3
153	0	1	1	1	3
154	0	1	1	1	3
155	0	1	1	1	3
156	0	1	1	1	3
157	0	1	1	1	3
158	0	1	1	1	3
159	0	1	1	1	3
160	0	1	1	1	3
161	0	1	1	1	3
162	0	1	1	1	3
163	0	1	1	1	3
164	0	1	1	1	3
165	0	1	1	1	3
166	0	1	1	1	3
167	0	1	1	1	3
168	0	1	1	1	3
169	0	1	1	1	3
170	0	1	1	1	3
171	0	1	1	1	3
172	0	1	1	1	3
173	0	1	1	1	3
174	0	1	1	1	3
175	0	1	1	1	3
176	0	1	1	1	3
177	0	1	1	1	3
178	0	1	1	1	3
179	0	1	1	1	3
180	0	1	1	1	3
181	0	1	1	1	3
182	0	1	1	1	3
183	0	1	1	1	3
184	0	1	1	1	3
185	0	1	1	1	3
186	0	1	1	1	3
187	0	1	1	1	3
188	0	1	1	1	3
189	0	1	1	1	3
190	0	1	1	1	3
191	0	1	1	1	3
192	0	1	1	1	3
193	0	1	1	1	3
194	0	1	1	1	3
195	0	1	1	1	3
196	0	1	1	1	3
197	0	1	1	1	3
198	0	1	1	1	3
199	0	1	1	1	3
200	0	1	1	1	3
201	0	1	1	1	3
202	0	1	1	1	3
203	0	1	1	1	3
204	0	1	1	1	3
205	0	1	1	1	3
206	0	1	1	1	3
207	0	1	1	1	3
208	0	1	1	1	3
209	0	1	1	1	3
210	0	1	1	1	3
211	0	1	1	1	3
212	0	1	1	1	3
213	0	1	1	1	3
214	0	1	1	1	3
215	0	1	1	1	3
216	0	1	1	1	3
217	0	1	1	1	3
218	0	1	1	1	3
219	0	1	1	1	3
220	0	1	1	1	3
221	0	1	1	1	3
222	0	1	1	1	3
223	0	1	1	1	3
224	0	1	1	1	3
225	0	1	1	1	3
