depth	min95%	max95%	best	acc.rate
40	79	457	177	93.76
41	172	547	271	93.75
42	268	638	365	93.74
43	361	728	459	93.71
44	453	818	552	93.67
45	546	910	646	93.62
46	639	1002	740	93.56
47	731	1095	833	93.49
48	824	1187	927	93.41
49	916	1279	1020	93.32
50	1009	1371	1113	93.22
51	1102	1463	1207	93.11
52	1193	1554	1300	92.99
53	1286	1646	1393	92.87
54	1378	1735	1486	92.73
55	1468	1825	1578	92.58
56	1560	1914	1671	92.42
57	1652	2003	1763	92.25
58	1742	2091	1856	92.07
59	1832	2180	1948	91.88
60	1923	2268	2039	91.68
61	2012	2357	2131	91.47
62	2101	2445	2223	91.25
63	2191	2533	2314	91.02
64	2282	2621	2405	90.78
65	2372	2710	2496	90.53
66	2462	2798	2586	90.27
67	2551	2885	2676	90
68	2639	2973	2766	89.72
69	2727	3060	2856	89.43
70	2815	3147	2946	89.13
71	2903	3234	3035	88.82
72	2991	3320	3124	88.5
73	3078	3405	3212	88.17
74	3166	3491	3300	87.83
75	3252	3578	3388	87.48
76	3338	3663	3476	87.12
77	3425	3748	3563	86.75
78	3511	3832	3649	86.37
79	3596	3916	3736	85.98
80	3682	3999	3822	85.57
81	3767	4082	3907	85.16
82	3852	4165	3992	84.74
83	3936	4247	4077	84.31
84	4018	4329	4162	83.87
85	4102	4412	4245	83.42
86	4186	4498	4329	82.96
87	4269	4583	4412	82.49
88	4351	4662	4494	82.01
89	4433	4741	4576	81.52
90	4513	4822	4658	81.01
91	4596	4903	4739	80.5
92	4677	4984	4819	79.98
93	4757	5066	4899	79.45
94	4837	5143	4979	78.91
95	4916	5222	5058	78.36
96	4996	5299	5136	77.8
97	5073	5378	5214	77.23
98	5151	5455	5291	76.64
99	5229	5532	5368	76.05
100	5307	5608	5444	75.45
101	5385	5684	5519	74.84
102	5461	5759	5594	74.22
103	5535	5835	5668	73.59
104	5611	5911	5742	72.94
105	5685	5984	5815	72.29
106	5757	6051	5887	71.63
107	5827	6122	5959	70.96
108	5897	6192	6030	70.28
109	5966	6263	6100	69.58
110	6037	6332	6170	68.88
111	6108	6400	6238	68.17
112	6175	6468	6307	67.45
113	6241	6535	6374	66.71
114	6307	6601	6441	65.97
115	6378	6668	6507	65.22
116	6447	6729	6572	64.46
117	6511	6794	6636	63.68
118	6573	6857	6700	62.9
119	6634	6920	6763	62.11
120	6693	6982	6825	61.32
121	6753	7043	6886	60.52
122	6812	7105	6947	59.72
123	6873	7167	7007	58.92
124	6930	7227	7066	58.12
125	6985	7285	7124	57.32
126	7040	7343	7181	56.51
127	7095	7399	7237	55.7
128	7148	7455	7293	54.89
129	7202	7510	7348	54.08
130	7253	7566	7402	53.27
131	7305	7622	7455	52.46
132	7356	7676	7508	51.64
133	7403	7728	7560	50.82
134	7451	7779	7610	50
135	7499	7831	7660	49.18
136	7547	7884	7710	48.36
137	7593	7940	7758	47.53
138	7637	7992	7805	46.7
139	7680	8045	7852	45.87
140	7722	8092	7898	45.04
141	7764	8143	7943	44.23
142	7806	8193	7987	43.42
143	7848	8248	8031	42.63
144	7887	8301	8073	41.85
145	7928	8351	8115	41.08
146	7968	8407	8156	40.33
147	8006	8449	8197	39.59
148	8044	8497	8236	38.86
149	8080	8545	8275	38.14
150	8116	8599	8313	37.44
151	8153	8652	8351	36.75
152	8187	8699	8387	36.08
153	8222	8748	8423	35.41
154	8255	8802	8459	34.76
155	8289	8855	8494	34.13
156	8321	8908	8528	33.5
157	8351	8961	8561	32.89
158	8380	9014	8594	32.29
159	8413	9066	8626	31.7
160	8445	9116	8658	31.13
161	8476	9170	8689	30.57
162	8506	9219	8720	30.02
163	8532	9267	8750	29.49
164	8558	9316	8779	28.97
165	8587	9365	8808	28.46
166	8617	9414	8837	27.96
167	8646	9461	8865	27.48
168	8673	9504	8892	27.01
169	8694	9552	8919	26.55
170	8716	9599	8946	26.11
171	8741	9645	8972	25.68
172	8767	9690	8998	25.26
173	8790	9734	9023	24.86
174	8814	9779	9048	24.46
175	8838	9822	9072	24.08
176	8860	9867	9096	23.72
177	8882	9911	9120	23.36
178	8905	9953	9143	23.02
179	8927	9995	9166	22.7
180	8946	10037	9189	22.38
181	8969	10078	9211	22.08
182	8992	10120	9233	21.79
183	9011	10161	9255	21.51
184	9029	10202	9277	21.25
185	9046	10243	9298	21
186	9063	10284	9319	20.76
187	9083	10326	9340	20.54
188	9098	10367	9360	20.33
189	9110	10408	9381	20.13
190	9128	10449	9401	19.94
191	9140	10490	9421	19.77
192	9153	10530	9441	19.61
193	9167	10571	9460	19.46
194	9181	10611	9480	19.33
195	9195	10652	9499	19.21
196	9205	10692	9518	19.1
197	9218	10732	9537	19
198	9229	10772	9556	18.92
199	9242	10812	9575	18.85
200	9257	10852	9594	18.79
201	9270	10892	9613	18.75
202	9282	10932	9632	18.72
203	9290	10972	9650	18.7
204	9302	11012	9669	18.7
205	9318	11052	9688	18.7
206	9330	11092	9706	18.7
207	9340	11131	9725	18.7
208	9353	11171	9744	18.7
209	9360	11211	9762	18.7
210	9367	11251	9781	18.7
211	9373	11291	9800	18.7
212	9379	11331	9819	18.7
213	9386	11371	9837	18.7
214	9395	11411	9856	18.7
215	9405	11450	9875	18.7
216	9415	11490	9893	18.7
217	9425	11530	9912	18.7
218	9435	11570	9931	18.7
219	9445	11610	9949	18.7
220	9455	11651	9968	18.7
221	9463	11693	9987	18.7
222	9471	11734	10005	18.7
223	9479	11776	10024	18.7
224	9486	11817	10043	18.7
225	9497	11858	10062	NA
