depth	min95%	max95%	best	acc.rate
0	-141	43	-48	2.19
10	-114	62	-26	2.19
20	-88	82	-4	2.19
30	-62	99	18	2.19
40	-38	118	40	2.19
50	-15	139	62	2.19
60	10	159	84	2.19
70	34	178	105	2.19
80	57	199	127	2.19
90	80	219	149	2.19
100	101	241	171	2.19
110	124	262	193	2.19
120	146	285	215	2.19
130	167	307	236	2.19
140	189	331	258	2.19
150	210	356	280	2.19
160	231	379	302	2.19
170	251	402	324	2.19
180	270	429	346	2.19
190	288	454	368	2.19
200	307	478	389	4.32
210	351	520	433	4.32
220	396	563	476	4.32
230	439	607	519	4.32
240	483	650	562	4.32
250	527	692	606	4.32
260	571	734	649	4.32
270	614	776	692	4.32
280	657	817	735	4.32
290	701	859	779	4.32
300	746	901	822	4.32
310	789	944	865	4.32
320	832	987	908	4.32
333	889	1043	964	4.32
340	920	1074	995	4.32
350	963	1117	1038	4.32
360	1006	1159	1081	4.32
370	1049	1202	1124	4.32
380	1092	1245	1168	4.32
390	1136	1287	1211	4.32
400	1179	1330	1254	4.32
410	1223	1373	1297	4.32
420	1266	1416	1341	4.32
430	1309	1459	1384	4.32
440	1352	1502	1427	4.32
450	1395	1546	1470	4.32
460	1438	1588	1514	4.32
470	1481	1631	1557	4.32
480	1524	1675	1600	4.32
490	1567	1719	1643	4.32
500	1609	1762	1687	4.32
510	1652	1806	1730	4.32
520	1695	1850	1773	4.32
530	1738	1893	1816	4.32
540	1780	1937	1860	4.32
550	1823	1981	1903	4.32
560	1866	2025	1946	4.32
570	1909	2069	1989	4.32
580	1952	2114	2032	4.32
590	1994	2158	2076	4.32
600	2037	2202	2119	4.32
610	2079	2246	2162	4.32
620	2122	2290	2205	4.32
630	2164	2334	2249	4.32
640	2207	2378	2292	4.32
650	2250	2423	2335	4.32
660	2293	2467	2378	4.32
670	2335	2511	2422	4.32
680	2378	2555	2465	4.32
690	2422	2599	2508	4.32
700	2464	2643	2551	4.32
710	2507	2687	2595	4.32
720	2549	2731	2638	4.32
730	2591	2775	2681	4.32
740	2633	2819	2724	4.32
750	2675	2864	2767	4.32
760	2716	2909	2811	4.32
770	2759	2953	2854	4.32
780	2801	2997	2897	4.32
790	2841	3042	2940	4.32
800	2882	3086	2984	4.32
810	2923	3131	3027	4.32
820	2965	3177	3070	4.32
830	3008	3222	3113	4.32
840	3050	3266	3157	4.32
850	3093	3311	3200	4.32
860	3134	3355	3243	4.32
870	3175	3400	3286	4.32
880	3218	3445	3330	4.32
890	3258	3490	3373	4.32
900	3299	3536	3416	4.32
910	3339	3581	3459	4.32
920	3380	3626	3503	4.32
930	3420	3671	3546	4.32
940	3461	3716	3589	4.32
950	3501	3761	3632	4.32
960	3542	3806	3675	4.32
970	3583	3851	3719	4.32
980	3625	3896	3762	4.32
990	3666	3941	3805	4.32
1000	3706	3986	3848	4.32
1010	3747	4032	3892	4.32
1020	3787	4077	3935	4.32
1030	3828	4121	3978	4.32
1040	3870	4166	4021	4.32
1050	3911	4211	4065	4.32
1060	3953	4256	4108	4.32
1070	3996	4301	4151	4.32
1080	4037	4346	4194	4.32
1090	4077	4392	4238	4.32
1100	4119	4437	4281	4.32
1110	4161	4482	4324	4.32
1120	4203	4526	4367	4.32
1130	4245	4571	4411	4.32
1140	4286	4616	4454	4.32
1150	4328	4661	4497	4.32
1160	4370	4706	4540	4.32
1170	4413	4752	4583	4.32
1180	4454	4797	4627	4.32
1190	4495	4842	4670	4.32
1200	4537	4887	4713	4.32
1210	4579	4932	4756	4.32
1220	4620	4978	4800	4.32
1230	4662	5023	4843	4.32
1240	4704	5068	4886	4.32
1250	4746	5113	4929	4.32
1260	4788	5159	4973	4.32
1270	4829	5204	5016	4.32
1280	4871	5249	5059	4.32
1290	4913	5294	5102	4.32
1300	4955	5340	5146	NA
