"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
5	0	1	1	1	3
15	0	1	1	1	3
25	0	1	1	1	3
35	1	1	1	1	4
45	1	1	1	1	4
55	1	1	1	1	4
65	1	1	1	1	4
75	1	1	1	1	4
85	1	1	1	1	4
95	1	1	1	1	4
105	1	1	1	1	4
115	1	1	1	1	4
125	1	1	1	1	4
135	1	1	1	1	4
145	1	1	1	1	4
155	1	1	1	1	4
165	1	1	1	1	4
175	1	1	1	1	4
185	1	1	1	1	4
195	1	1	1	1	4
205	1	1	1	1	4
215	1	1	1	1	4
225	1	1	1	0	3
235	1	1	1	0	3
245	1	1	1	0	3
255	1	1	1	0	3
265	1	1	0	0	2
275	1	1	0	0	2
285	1	1	0	0	2
295	1	1	0	0	2
305	1	1	0	0	2
315	1	1	0	0	2
325	1	1	0	0	2
335	1	1	0	0	2
345	1	1	1	1	4
355	1	1	1	1	4
365	1	1	1	1	4
375	1	1	1	1	4
385	1	1	1	1	4
395	1	1	1	1	4
405	1	1	1	1	4
415	1	1	1	1	4
425	1	1	1	1	4
435	1	1	1	1	4
445	1	1	1	1	4
455	0	1	1	1	3
