depth	min95%	max95%	best	acc.rate
84	3114	3970	3550	113.68
110	6316	6698	6506	113.68
125	8028	8284	8154	113.68
140	9626	10076	9860	113.68
155	11108	11839	11508	113.68
165	12134	13083	12645	113.68
175	13152	14326	13782	113.68
185	14170	15581	14919	113.68
195	15193	16819	16055	113.68
205	16215	18051	17192	113.68
215	17238	19292	18329	113.68
230	18772	21147	20034	113.68
245	20307	23009	21740	113.68
265	22354	25496	24013	113.68
285	24405	27982	26287	113.68
295	25434	29225	27424	113.68
315	27490	31711	29697	113.68
322	28207	32580	30493	NA
