DEPTH (CM);SAMPLE AGE;14C DATE;UPPER DEPTH;LOWER DEPTH
2;84;;;
21;882;;;
56;2352;;;
62;2604;;;
74;3108;;;
83;3486;;;
94;3948;;;
101;4242;;;
104;4368;;;
111;4662;;;
116;4872;;;
125;5250;;;
136;5712;;;
146;6132;;;
153;6426;;;
164;6888;;;
179;7518;;;
184;7728;;;
185;7770;;;
195;8580;8190;198;206
200;8800;;;
203;8932;;;
217;9548;;;
229;10003;10030;232;0
239;9560;;;
247;9880;;;
255;10200;;;
262;10480;;;
265;10600;;;
275;10400;10400;275;300
287;10045;;;
295;10325;;;
304;10640;;;
328;9840;11350;326;350
337;10110;;;
345;10350;;;
353;10590;;;
361;10830;;;
365;10950;;;
374;11900;11900;372;378
378;11920;;;
384;11940;;;
387;11960;;;
390;11980;;;
394;12010;;;
410;12030;;;
430;12060;;;
450;12090;;;
470;12140;12140;472;486
473;12180;;;
480;12240;;;
483;12270;;;
488;12290;;;
504;12300;;;
523;12300;;;
542;12310;12310;547;564
555;;;;
566;;;;
580;;;;
602;;;;
611;;;;
617;;;;
624;;;;
627;;;;
630;12320;12320;626;631
633;;;;
641;;;;
650;;;;
660;;;;
700;;;;
740;;;;
