"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
2	0	1	1	1	3
21	0	1	1	0	2
56	0	0	0	0	0
62	0	0	0	0	0
74	0	0	0	0	0
83	0	0	0	0	0
94	0	0	0	0	0
101	0	0	0	0	0
104	0	0	0	0	0
111	0	0	0	0	0
116	0	0	0	0	0
125	0	0	0	0	0
136	0	0	0	0	0
146	0	0	0	0	0
153	0	0	0	0	0
164	0	1	0	0	1
179	0	1	0	0	1
184	0	1	1	1	3
185	0	1	1	1	3
195	0	1	1	1	3
200	0	1	1	1	3
203	0	1	1	1	3
217	0	1	0	0	1
229	0	1	1	1	3
239	0	1	1	1	3
247	0	1	1	1	3
255	0	1	1	1	3
262	0	1	1	1	3
265	0	1	1	1	3
275	0	1	1	1	3
287	0	1	1	1	3
295	0	1	1	1	3
304	0	1	1	1	3
328	0	1	1	1	3
337	0	1	1	1	3
345	0	1	1	1	3
353	0	1	1	1	3
361	0	1	1	1	3
365	0	1	1	1	3
374	0	1	1	1	3
378	0	1	1	1	3
384	0	1	1	1	3
387	0	1	1	1	3
390	0	1	1	1	3
394	0	1	1	1	3
410	0	1	1	1	3
430	0	1	1	1	3
450	0	1	1	1	3
470	0	1	1	1	3
473	0	1	1	1	3
480	0	1	1	1	3
483	0	1	1	1	3
488	0	1	1	1	3
504	0	1	1	1	3
523	0	1	1	1	3
542	0	1	1	1	3
555	0	1	1	1	3
566	0	1	1	1	3
580	0	1	1	1	3
602	0	1	1	1	3
611	0	1	1	1	3
617	0	1	1	1	3
624	0	1	1	1	3
627	0	1	1	1	3
630	0	1	1	1	3
633	0	1	1	1	3
641	0	1	1	1	3
650	0	1	1	1	3
660	0	1	1	1	3
700	0	1	1	1	3
740	0	1	1	1	3
