"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
2	1	1	1	1	4
21	1	1	1	0	3
56	1	0	0	0	1
62	1	0	0	0	1
74	1	0	0	0	1
83	1	0	0	0	1
94	1	0	0	0	1
101	1	0	0	0	1
104	1	0	0	0	1
111	1	0	0	0	1
116	1	0	0	0	1
125	1	0	0	0	1
136	1	0	0	0	1
146	1	0	0	0	1
153	1	0	0	0	1
164	1	1	0	0	2
179	1	1	0	0	2
184	1	1	1	1	4
185	1	1	1	1	4
195	1	1	1	1	4
200	1	1	1	1	4
203	1	1	1	1	4
217	1	1	1	0	3
229	1	1	1	1	4
239	1	1	1	1	4
247	1	1	1	1	4
255	1	1	1	1	4
262	1	1	1	1	4
265	1	1	1	1	4
275	1	1	1	1	4
287	1	1	1	1	4
295	1	1	1	1	4
304	1	1	1	1	4
328	1	1	1	1	4
337	1	1	1	1	4
345	0	1	1	1	3
353	0	1	1	1	3
361	0	1	1	1	3
365	0	1	1	1	3
374	0	1	1	1	3
378	0	1	1	1	3
384	0	1	1	1	3
387	0	1	1	1	3
390	0	1	1	1	3
394	0	1	1	1	3
410	0	1	1	1	3
430	0	1	1	1	3
450	0	1	1	1	3
470	0	1	1	1	3
473	0	1	1	1	3
480	0	1	1	1	3
483	0	1	1	1	3
488	0	1	1	1	3
504	0	1	1	1	3
523	0	1	1	1	3
542	0	1	1	1	3
555	0	1	1	1	3
566	0	1	1	1	3
580	0	1	1	1	3
602	0	1	1	1	3
611	0	1	1	1	3
617	0	1	1	1	3
624	0	1	1	1	3
627	0	1	1	1	3
630	0	1	1	1	3
633	0	1	1	1	3
641	0	1	1	1	3
650	0	1	1	1	3
660	0	1	1	1	3
700	0	1	1	1	3
740	0	1	1	1	3
