"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
73	0	1	1	1	3
74	0	1	1	1	3
76	0	1	1	1	3
77	0	1	1	1	3
78	0	1	1	1	3
79	0	1	1	1	3
83	0	1	1	1	3
87	0	1	1	1	3
94	0	1	1	1	3
98	0	1	1	1	3
103	0	1	1	1	3
108	0	1	1	1	3
110	0	1	1	1	3
113	0	1	1	1	3
118	0	1	1	1	3
165	0	1	1	1	3
170	0	1	1	1	3
175	0	1	1	1	3
180	0	1	1	1	3
185	0	1	1	1	3
190	0	1	1	1	3
195	0	1	1	1	3
199	0	1	1	1	3
200	0	1	1	1	3
204	0	1	1	1	3
213	0	1	1	1	3
222	0	1	1	1	3
226	0	1	1	1	3
229	0	1	1	1	3
232	0	1	1	1	3
237	0	1	1	1	3
241	0	1	1	1	3
250	0	1	1	1	3
260	0	1	1	1	3
263	0	1	1	1	3
266	0	1	1	1	3
271	0	1	1	1	3
275	0	1	1	1	3
278	0	1	1	1	3
281	0	1	1	1	3
284	0	1	1	1	3
287	0	1	1	1	3
290	0	1	1	1	3
295	0	1	1	1	3
298	0	1	1	1	3
301	0	1	1	1	3
304	0	1	1	1	3
309	0	1	1	1	3
314	0	1	1	1	3
318	0	1	1	1	3
321	0	1	1	1	3
324	0	1	1	1	3
327	0	1	1	1	3
332	0	1	1	1	3
