depth	min95%	max95%	best	acc.rate
0	-2	977	478	2.7
10	48	979	505	2.7
20	97	979	532	2.7
30	147	980	559	2.7
40	196	984	586	2.7
50	247	985	613	2.7
60	296	986	640	2.7
70	345	1001	667	2.7
80	393	1022	694	2.7
90	436	1036	721	2.7
100	484	1059	748	2.7
110	527	1073	775	2.7
120	566	1087	802	2.7
130	606	1094	829	2.7
140	642	1102	856	2.7
150	677	1130	883	2.7
160	710	1172	910	2.7
170	743	1186	937	2.7
180	770	1217	964	2.7
190	798	1234	991	2.7
200	829	1251	1018	2.7
210	858	1285	1045	2.7
220	878	1329	1072	2.7
230	894	1365	1099	2.7
240	911	1404	1126	2.7
250	925	1449	1153	2.7
260	942	1485	1180	2.7
270	955	1535	1207	2.7
280	967	1579	1234	2.7
290	1236	1725	1472	26.18
300	1499	1970	1734	26.18
310	1718	2359	1996	26.18
320	1873	2650	2201	7.09
330	1960	2694	2272	7.09
340	2047	2734	2342	7.09
350	2155	2771	2413	7.09
360	2245	2807	2484	7.09
370	2322	2841	2555	7.09
380	2408	2874	2626	7.09
390	2499	2907	2697	7.09
400	2573	2974	2768	7.09
410	2639	3032	2839	7.09
420	2705	3097	2910	7.09
430	2761	3165	2981	7.09
440	2822	3249	3051	7.09
450	2888	3306	3111	3.78
460	2958	3321	3149	3.78
470	3005	3337	3186	3.78
480	3042	3370	3224	3.78
490	3050	3431	3262	3.78
495	3062	3468	3281	NA
