depth	min95%	max95%	best	acc.rate
0	378	1655	1090	-3.07
10	386	1591	1060	-3.07
20	406	1521	1029	-3.07
30	420	1452	998	-3.07
40	429	1384	968	-3.07
50	457	1317	937	-3.07
60	473	1250	906	-3.07
70	489	1185	875	-3.07
80	500	1124	845	-3.07
90	498	1056	814	-3.07
100	501	999	783	-3.07
110	489	957	753	-3.07
120	476	928	722	-3.05
130	458	913	692	-2.88
140	431	912	665	-2.55
150	403	912	641	-2.06
160	388	927	623	-1.4
170	374	945	613	-0.58
180	357	972	611	0.4
190	360	1004	621	1.55
200	369	1052	642	2.86
210	403	1104	677	4.34
220	457	1175	728	5.98
230	539	1242	795	7.78
240	631	1327	882	9.75
250	748	1416	989	11.87
260	891	1519	1118	14.17
270	1065	1645	1270	16.62
280	1261	1784	1448	19.24
290	1469	1942	1652	21.57
300	1674	2131	1875	23.04
310	1876	2356	2109	23.65
320	2067	2598	2345	23.39
330	2245	2835	2573	21.98
340	2402	3053	2782	19.33
350	2548	3236	2959	15.58
360	2673	3376	3098	11.96
370	2782	3469	3203	8.74
380	2870	3534	3278	5.94
390	2937	3584	3326	3.55
400	2992	3616	3352	1.58
410	3034	3620	3361	0.02
420	3069	3614	3355	-1.12
430	3092	3593	3341	-1.85
440	3110	3560	3320	-2.16
450	3121	3521	3299	-2.1
460	3116	3474	3278	-1.99
470	3098	3434	3259	-1.91
480	3069	3399	3240	-1.86
490	3037	3363	3221	-1.85
495	3016	3366	3212	NA
