depth	min95%	max95%	best	acc.rate
10	1196	2234	1878	2.56
17	1253	2236	1896	2.56
31	1368	2243	1932	2.56
55	1549	2260	1993	2.56
100	1900	2328	2132	4.4
115	2025	2396	2209	6.03
135	2209	2535	2356	8.99
155	2432	2764	2573	13.12
165	2570	2909	2716	15.67
185	2927	3275	3079	20.69
205	3369	3715	3528	24.03
215	3620	3947	3773	25.05
225	3870	4185	4026	25.64
245	4390	4666	4541	25.51
265	4901	5149	5040	24.34
280	5271	5522	5400	23.78
295	5640	5913	5755	23.53
310	5973	6323	6108	23.52
325	6273	6745	6460	23.52
345	6668	7293	6931	23.52
355	6863	7569	7166	23.52
360	6961	7706	7284	NA
