depth	min95%	max95%	best	acc.rate
0	-1077	12	-203	34.98
2	-923	54	-133	35.86
4	-760	108	-60	37.9
6	-594	173	17	41.13
8	-422	247	102	45.53
10	-243	328	195	51.11
12	-57	426	301	57.86
14	142	555	420	65.79
16	289	705	556	74.9
18	428	880	711	85.19
20	540	1090	887	96.65
22	656	1343	1086	109.29
24	787	1639	1312	122.97
26	932	1967	1565	137.4
28	1103	2345	1847	152.56
30	1305	2752	2160	168.44
32	1541	3186	2505	185.05
34	1821	3661	2884	202.38
36	2149	4164	3298	220.44
38	2512	4699	3748	239.23
40	2950	5263	4236	258.74
42	3453	5846	4763	278.98
44	4021	6460	5332	299.94
46	4664	7095	5942	321.63
48	5389	7753	6597	344.05
50	6208	8431	7296	367.19
52	7112	9127	8043	391.06
54	8028	9840	8837	415.65
56	8864	10568	9680	438.31
58	9589	11307	10565	452.96
60	10247	12057	11475	459.22
62	10909	13002	12394	459.56
64	11571	14283	13313	NA
