depth	min95%	max95%	best	acc.rate
1	-1126	-255	-677	81.14
3	-942	-112	-515	81.14
5	-758	30	-353	81.14
7	-574	169	-191	81.14
9	-390	309	-28	81.14
11	-206	450	134	81.14
13	-22	591	296	81.14
15	162	733	459	81.14
17	347	873	621	81.14
19	530	1010	783	81.14
21	713	1152	945	81.14
23	894	1295	1108	81.14
25	1081	1437	1270	81.14
27	1265	1582	1432	81.14
29	1446	1724	1594	81.14
31	1624	1876	1757	81.14
33	1794	2029	1919	81.14
35	1963	2185	2081	81.14
37	2134	2346	2244	81.14
39	2299	2512	2406	81.14
41	2458	2682	2568	81.14
43	2612	2858	2730	81.14
45	2765	3036	2893	81.14
47	2915	3212	3055	81.14
49	3177	3477	3317	180.97
51	3550	3825	3679	180.97
53	3921	4174	4041	180.97
55	4284	4525	4403	180.97
57	4654	4877	4765	180.97
59	5020	5232	5127	180.97
61	5383	5592	5489	180.97
63	5739	5952	5851	180.97
65	6097	6316	6212	180.97
67	6450	6679	6574	180.97
69	6803	7047	6936	180.97
71	7158	7414	7298	180.97
73	7511	7783	7660	180.97
75	7865	8155	8022	180.97
77	8219	8529	8384	232.31
79	8693	8979	8849	232.31
81	9164	9436	9313	232.31
83	9633	9900	9778	232.31
85	10099	10367	10243	232.31
87	10560	10839	10707	232.31
89	11016	11313	11172	232.31
91	11467	11795	11636	232.31
93	11915	12279	12101	232.31
95	12361	12763	12566	232.31
97	12804	13245	13030	237.78
99	13286	13708	13506	237.78
101	13769	14175	13981	237.78
103	14254	14642	14457	237.78
105	14738	15111	14932	237.78
107	15220	15594	15408	237.78
109	15691	16075	15884	237.78
111	16161	16559	16359	237.78
113	16625	17052	16835	237.78
115	17091	17547	17310	237.78
117	17553	18041	17786	237.78
119	18012	18537	18261	237.78
121	18469	19031	18737	237.78
123	18926	19528	19212	237.78
125	19378	20025	19688	237.78
127	19832	20523	20163	NA
