depth	min95%	max95%	best	acc.rate
0	-612	-476	-559	47.65
1	-560	-432	-511	47.65
2	-508	-388	-464	47.65
3	-456	-344	-416	47.65
4	-403	-299	-368	47.65
5	-351	-255	-321	47.65
6	-298	-211	-273	47.65
7	-246	-167	-225	47.65
8	-194	-123	-178	47.65
9	-144	-79	-130	47.65
10	-97	-35	-82	47.65
11	-48	11	-35	47.68
12	1	55	13	47.78
13	49	100	61	47.93
14	96	145	109	48.15
15	144	191	157	48.43
16	191	236	205	48.78
17	239	286	254	49.19
18	287	338	303	49.66
19	335	392	353	50.19
20	384	446	403	50.79
21	433	500	454	51.45
22	484	555	505	52.17
23	535	610	558	52.96
24	587	666	610	53.81
25	640	723	664	54.72
26	694	780	719	55.7
27	750	838	775	56.74
28	806	896	831	57.84
29	863	954	889	59
30	922	1014	948	60.23
31	982	1075	1009	61.49
32	1043	1136	1070	62.77
33	1106	1199	1133	64.07
34	1170	1262	1197	65.38
35	1235	1326	1262	66.7
36	1301	1391	1329	68.04
38	1436	1525	1466	70.76
39	1506	1594	1537	72.14
40	1578	1664	1609	73.54
41	1650	1734	1683	74.95
42	1724	1808	1758	76.37
43	1800	1883	1834	77.81
44	1877	1960	1912	79.26
45	1956	2038	1991	80.73
46	2036	2121	2072	82.21
47	2118	2202	2154	83.7
48	2201	2286	2238	85.21
49	2285	2374	2323	86.74
50	2371	2463	2410	88.28
51	2458	2554	2498	89.83
52	2547	2647	2588	91.4
53	2637	2742	2679	92.98
54	2730	2838	2772	94.58
55	2823	2937	2867	96.19
56	2918	3035	2963	97.81
57	3017	3135	3061	99.45
58	3116	3236	3160	101.1
59	3216	3340	3261	102.77
60	3318	3444	3364	104.45
61	3422	3550	3469	106.11
62	3527	3658	3575	107.72
63	3634	3769	3682	109.28
64	3741	3879	3792	110.78
65	3851	3991	3902	112.23
66	3964	4104	4015	113.63
67	4075	4219	4128	114.97
68	4188	4336	4243	116.26
69	4299	4454	4360	117.5
70	4413	4572	4477	118.68
71	4530	4692	4596	119.8
72	4647	4813	4716	120.86
73	4761	4932	4836	121.84
74	4877	5055	4958	122.76
75	4994	5176	5081	123.61
76	5112	5298	5205	124.39
77	5231	5421	5329	125.11
78	5347	5545	5454	125.75
79	5463	5669	5580	126.33
80	5581	5795	5706	126.84
81	5698	5923	5833	127.28
82	5813	6049	5960	127.66
83	5928	6175	6088	127.96
84	6043	6302	6216	128.2
85	6160	6430	6344	128.37
86	6279	6560	6473	128.47
87	6398	6690	6601	128.5
88	6518	6823	6729	128.5
89	6638	6955	6858	128.5
90	6758	7088	6987	NA
