depth	min95%	max95%	best	acc.rate
0	-82	-48	-66	1.49
1	-80	-44	-64	1.49
2	-77	-41	-63	1.49
3	-75	-37	-61	1.49
4	-73	-33	-60	1.49
5	-70	-29	-58	1.49
6	-68	-25	-57	1.49
7	-66	-21	-55	1.49
8	-64	-18	-54	1.49
9	-63	-14	-52	1.49
10	-61	-10	-51	25.94
11	-36	17	-25	50.39
12	14	65	25	50.39
13	64	114	76	50.39
14	113	163	126	50.39
15	163	211	177	50.39
16	213	260	227	50.39
17	262	309	277	50.39
18	311	358	328	50.39
19	361	411	378	50.39
20	410	466	429	50.39
21	460	520	479	50.39
22	509	575	529	50.39
23	559	630	580	50.39
24	608	686	630	50.39
25	657	741	681	50.39
26	707	796	731	50.39
27	756	851	781	50.39
28	805	905	832	50.39
29	854	960	882	50.39
30	903	1015	933	65.37
31	968	1081	998	80.35
32	1049	1158	1078	80.35
33	1130	1235	1159	80.35
34	1210	1313	1239	80.35
35	1289	1391	1319	80.35
36	1369	1469	1400	80.35
38	1526	1625	1560	80.35
39	1604	1702	1641	80.35
40	1681	1781	1721	80.35
41	1759	1859	1801	80.35
42	1837	1936	1882	80.35
43	1914	2013	1962	80.35
44	1992	2090	2042	80.35
45	2070	2168	2123	80.35
46	2147	2248	2203	80.35
47	2225	2328	2283	80.35
48	2303	2407	2364	80.35
49	2380	2490	2444	80.35
50	2458	2570	2525	80.35
51	2536	2653	2605	80.35
52	2613	2736	2685	80.35
53	2690	2818	2766	80.35
54	2767	2901	2846	80.35
55	2844	2984	2926	80.35
56	2922	3067	3007	80.35
57	2999	3149	3087	80.35
58	3077	3232	3167	80.35
59	3154	3314	3248	80.35
60	3232	3397	3328	98.6
61	3334	3493	3427	116.85
62	3457	3605	3543	116.85
63	3579	3733	3660	116.85
64	3700	3870	3777	116.85
65	3823	4009	3894	116.85
66	3942	4149	4011	116.85
67	4053	4289	4128	116.85
68	4163	4431	4245	116.85
69	4270	4573	4361	116.85
70	4377	4713	4478	123.71
71	4500	4841	4602	130.58
72	4636	4958	4733	130.58
73	4771	5073	4863	130.58
74	4906	5189	4994	130.58
75	5041	5306	5124	130.58
76	5175	5424	5255	130.58
77	5309	5540	5385	130.58
78	5442	5657	5516	130.58
79	5575	5776	5647	130.58
80	5706	5894	5777	130.58
81	5835	6012	5908	130.58
82	5966	6134	6038	130.58
83	6096	6258	6169	130.58
84	6226	6386	6300	130.58
85	6356	6521	6430	130.58
86	6485	6656	6561	130.58
87	6612	6791	6691	65.29
88	6674	6860	6757	130.58
89	6798	6996	6887	130.58
90	6920	7135	7018	NA
