"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
1	0	1	1	1	3
2	0	1	1	1	3
3	0	1	1	1	3
4	0	1	1	1	3
5	0	1	1	1	3
6	0	1	1	1	3
7	0	1	1	1	3
8	0	1	1	1	3
9	0	1	1	1	3
10	0	1	1	1	3
11	1	1	1	1	4
12	1	1	1	1	4
13	1	1	1	1	4
14	1	1	1	1	4
15	1	1	1	1	4
16	1	1	1	1	4
17	1	1	1	1	4
18	1	1	1	1	4
19	1	1	1	1	4
20	1	1	1	1	4
21	1	1	1	1	4
22	1	1	1	1	4
23	1	1	1	1	4
24	1	1	1	1	4
25	1	1	1	1	4
26	1	1	1	1	4
27	1	1	1	1	4
28	1	1	1	1	4
29	1	1	1	1	4
30	1	1	1	1	4
31	1	1	1	1	4
32	1	1	1	1	4
33	1	1	1	1	4
34	1	1	1	1	4
35	1	1	1	1	4
36	1	1	1	1	4
38	1	1	1	1	4
39	1	1	1	1	4
40	1	1	1	1	4
41	1	1	1	1	4
42	1	1	1	1	4
43	1	1	1	1	4
44	1	1	1	1	4
45	1	1	1	1	4
46	1	1	1	1	4
47	1	1	1	1	4
48	1	1	1	1	4
49	1	1	1	1	4
50	1	1	1	1	4
51	1	1	1	1	4
52	1	1	1	1	4
53	1	1	1	1	4
54	1	1	1	1	4
55	1	1	1	1	4
56	1	1	1	1	4
57	1	1	1	1	4
58	1	1	1	1	4
59	1	1	1	1	4
60	1	1	1	1	4
61	1	1	1	1	4
62	1	1	1	1	4
63	1	1	1	1	4
64	1	1	1	1	4
65	1	1	1	1	4
66	1	1	1	1	4
67	1	1	1	1	4
68	1	1	1	1	4
69	1	1	1	1	4
70	1	1	1	1	4
71	1	1	1	1	4
72	1	1	1	1	4
73	1	1	1	1	4
74	1	1	1	1	4
75	1	1	1	0	3
76	1	1	1	0	3
77	1	1	1	0	3
78	1	1	1	0	3
79	1	1	1	1	4
80	1	1	1	1	4
81	1	1	1	1	4
82	1	1	1	1	4
83	1	1	1	1	4
84	1	1	1	1	4
85	1	1	1	1	4
86	1	1	1	1	4
87	1	1	1	1	4
88	0	1	1	1	3
89	0	1	1	1	3
90	0	1	1	1	3
