depth	min95%	max95%	best	acc.rate
10	-45	152	49	16.63
20	126	300	215	16.63
30	261	491	382	16.63
40	799	1053	925	66.88
50	1410	1794	1594	66.88
60	1845	2203	2025	35.21
70	2193	2566	2377	35.21
80	2446	2909	2680	15.43
90	2655	3012	2834	15.43
100	2816	3159	2988	15.43
110	2928	3335	3143	15.43
120	3173	3565	3371	28.95
130	3393	3942	3661	28.95
140	3788	4305	4024	43.69
150	4148	4824	4465	44.65
160	4651	5221	4912	44.65
170	5125	5634	5358	44.65
180	5569	6088	5805	44.65
190	5997	6573	6251	44.65
200	6387	7043	6670	30.77
210	6723	7320	6978	30.77
220	7055	7596	7285	30.77
230	7366	7881	7593	30.77
240	7646	8159	7901	30.77
250	7919	8458	8208	30.77
260	8183	8763	8516	30.77
270	8453	9075	8824	30.77
280	8716	9419	9131	30.77
290	8989	9574	9333	17.99
300	9263	9767	9513	17.99
310	9464	10007	9692	17.99
320	9586	10295	9872	NA
