depth	min95%	max95%	best	acc.rate
0	-1133	460	-369	4.76
10	-1074	498	-321	4.76
20	-1016	535	-274	4.76
30	-959	573	-226	4.76
40	-904	611	-179	4.76
50	-847	648	-131	4.76
60	-790	686	-83	4.76
70	-733	723	-36	4.76
80	-676	761	12	4.76
90	-619	800	60	4.76
100	-561	839	107	4.76
110	-504	878	155	4.76
120	-447	918	202	4.76
130	-390	957	250	4.76
140	-334	996	298	4.76
150	-277	1036	345	4.76
160	-219	1075	393	4.76
170	-162	1114	440	4.76
180	-105	1152	488	4.76
190	-47	1189	536	4.76
200	10	1226	583	4.76
210	68	1263	631	4.76
220	126	1300	679	4.76
230	183	1337	726	4.76
240	240	1372	774	4.76
250	297	1408	821	4.76
260	355	1444	869	4.76
270	412	1480	917	4.76
280	469	1516	964	4.76
290	526	1551	1012	4.76
300	583	1587	1060	4.76
310	641	1624	1107	4.76
320	698	1662	1155	4.76
330	755	1699	1202	4.76
340	812	1737	1250	4.76
350	873	1774	1298	4.76
360	935	1812	1345	4.76
370	995	1849	1393	4.76
380	1052	1887	1441	4.76
390	1108	1925	1488	4.76
400	1165	1963	1536	4.76
410	1221	2003	1583	4.76
420	1281	2042	1631	4.76
430	1337	2079	1679	4.76
440	1395	2116	1726	4.76
450	1450	2153	1774	4.76
460	1506	2192	1821	4.76
470	1557	2229	1867	4.76
480	1614	2265	1914	4.76
490	1670	2302	1962	4.76
500	1727	2339	2010	4.76
510	1784	2377	2057	4.76
520	1840	2417	2105	4.76
530	1893	2458	2152	4.76
540	1950	2498	2200	4.76
550	2005	2532	2248	4.76
560	2061	2563	2295	4.76
570	2114	2601	2343	4.76
580	2167	2642	2391	4.76
590	2223	2682	2438	4.76
600	2279	2720	2486	4.76
610	2333	2756	2533	4.76
620	2385	2797	2581	4.76
630	2439	2836	2629	4.76
640	2490	2876	2676	4.76
650	2542	2919	2724	4.76
660	2596	2964	2772	4.76
670	2648	3006	2819	4.76
680	2699	3053	2867	4.76
690	2750	3095	2914	4.76
700	2803	3141	2962	4.76
710	2851	3188	3010	4.76
720	2900	3230	3057	4.76
730	2948	3279	3105	4.76
740	2997	3327	3152	4.76
750	3043	3376	3200	4.76
760	3093	3429	3248	4.76
770	3140	3481	3295	4.76
780	3185	3534	3343	4.76
790	3229	3589	3391	4.76
800	3274	3643	3438	4.76
810	3321	3696	3486	4.76
820	3363	3747	3533	4.76
830	3409	3801	3581	36.24
840	3801	4109	3944	36.24
850	4118	4484	4306	36.24
860	4330	4827	4610	-2.97
870	4324	4794	4580	-2.97
880	4305	4773	4550	-2.97
890	4275	4759	4520	-2.97
900	4234	4747	4491	-2.97
910	4187	4759	4461	-2.97
920	4119	4759	4431	-2.97
930	4050	4766	4402	-2.97
940	3983	4773	4372	-2.97
950	3906	4781	4342	-2.97
960	3839	4797	4313	-2.97
970	3761	4817	4283	-2.97
980	3738	4819	4273	0.9
990	3767	4809	4282	0.9
1000	3787	4799	4291	0.9
1010	3815	4788	4300	0.9
1020	3843	4779	4309	0.9
1030	3866	4779	4318	0.9
1040	3900	4771	4327	0.9
1050	3926	4769	4336	0.9
1060	3946	4763	4345	0.9
1070	3971	4753	4354	0.9
1080	3982	4753	4363	0.9
1090	4000	4754	4372	0.9
1100	4021	4754	4381	0.9
1110	4042	4757	4390	0.9
1120	4063	4753	4399	0.9
1130	4079	4758	4408	0.9
1140	4103	4760	4417	0.9
1150	4123	4755	4426	0.9
1160	4135	4747	4435	0.9
1170	4148	4749	4444	0.9
1180	4161	4755	4453	0.9
1190	4165	4750	4462	0.9
1200	4167	4753	4471	0.9
1210	4170	4757	4480	0.9
1220	4166	4766	4489	0.9
1230	4157	4777	4498	0.9
1240	4158	4791	4507	0.9
1250	4166	4799	4516	0.9
1260	4172	4811	4525	0.9
1270	4170	4829	4534	0.79
1280	4187	4828	4542	0.79
1290	4202	4832	4550	0.79
1300	4215	4836	4558	0.79
1310	4226	4838	4566	0.79
1320	4237	4844	4574	0.79
1330	4254	4848	4582	0.79
1340	4268	4852	4590	0.79
1350	4281	4859	4597	0.79
1360	4297	4866	4605	0.79
1370	4311	4873	4613	0.79
1380	4323	4879	4621	0.79
1390	4338	4884	4629	0.79
1400	4354	4891	4637	0.79
1410	4367	4895	4645	0.79
1420	4384	4901	4653	0.79
1430	4402	4908	4661	0.79
1440	4411	4914	4668	0.79
1450	4421	4927	4676	0.79
1460	4432	4936	4684	0.79
1470	4442	4948	4692	0.79
1480	4454	4960	4700	0.79
1490	4463	4973	4708	0.79
1500	4472	4981	4716	0.79
1510	4478	4992	4724	0.79
1520	4485	5000	4731	0.79
1530	4489	5016	4739	0.79
1540	4490	5024	4747	0.79
1550	4493	5037	4755	0.79
1560	4497	5051	4763	0.79
1570	4501	5068	4771	0.79
1580	4503	5083	4779	0.79
1590	4508	5100	4787	0.79
1600	4509	5118	4795	0.79
1610	4511	5134	4802	0.79
1620	4512	5150	4810	0.79
1630	4514	5164	4818	0.79
1640	4519	5177	4826	0.79
1650	4522	5192	4834	0.79
1660	4527	5211	4842	0.79
1670	4526	5227	4850	0.79
1680	4584	5255	4894	5.63
1690	4657	5291	4950	5.63
1700	4727	5328	5007	5.63
1710	4795	5370	5063	5.63
1720	4866	5404	5119	5.63
1730	4939	5442	5176	5.63
1740	5010	5486	5232	5.63
1750	5078	5526	5288	5.63
1760	5148	5568	5345	5.63
1770	5213	5612	5401	5.63
1780	5277	5666	5457	5.63
1790	5337	5719	5513	5.63
1800	5396	5783	5570	5.63
1810	5450	5852	5626	5.63
1820	5505	5922	5682	5.63
1830	5553	5993	5739	5.63
1840	5598	6065	5795	5.63
1850	5642	6141	5851	5.63
1860	5685	6215	5908	NA
