depth	min95%	max95%	best	acc.rate
0	-2262	86	-957	6.02
10	-2178	127	-897	6.02
20	-2091	169	-837	6.02
30	-2005	211	-777	6.02
40	-1920	258	-717	6.02
50	-1835	305	-657	6.02
60	-1750	350	-596	6.02
70	-1665	392	-536	6.02
80	-1580	435	-476	6.02
90	-1494	480	-416	6.02
100	-1409	526	-356	6.02
110	-1324	572	-296	6.02
120	-1238	616	-236	6.02
130	-1153	664	-175	6.02
140	-1067	708	-115	6.02
150	-977	751	-55	6.02
160	-886	794	5	6.02
170	-794	838	65	6.02
180	-702	881	125	6.02
190	-611	929	186	6.02
200	-530	978	246	6.02
210	-449	1026	306	6.02
220	-368	1074	366	6.02
230	-287	1122	426	6.02
240	-206	1165	486	6.02
250	-121	1212	547	6.02
260	-33	1257	607	6.02
270	55	1299	667	6.02
280	142	1340	727	6.02
290	222	1383	787	6.02
300	297	1438	847	6.02
310	381	1490	907	6.02
320	460	1536	968	6.02
330	539	1577	1028	6.02
340	620	1628	1088	6.02
350	700	1667	1148	6.02
360	780	1720	1208	6.02
370	867	1767	1268	6.02
380	949	1818	1329	6.02
390	1027	1875	1389	6.02
400	1099	1920	1449	6.02
410	1178	1967	1509	6.02
420	1253	2013	1569	6.02
430	1323	2075	1629	6.02
440	1396	2137	1690	6.02
450	1465	2181	1750	6.02
460	1534	2224	1810	6.02
470	1600	2267	1870	6.02
480	1666	2309	1930	6.01
490	1732	2354	1990	6.01
500	1792	2396	2050	6.01
510	1858	2451	2110	6
520	1923	2508	2170	6
530	1987	2561	2230	5.99
540	2047	2616	2290	5.98
550	2106	2673	2350	5.97
560	2168	2745	2410	5.96
570	2226	2801	2469	5.95
580	2287	2875	2529	5.93
590	2348	2932	2588	5.92
600	2407	3009	2647	5.9
610	2466	3081	2706	5.88
620	2524	3147	2765	5.86
630	2582	3217	2823	5.84
640	2640	3285	2881	5.82
650	2699	3354	2940	5.79
660	2757	3417	2997	5.77
670	2815	3485	3055	5.74
680	2871	3557	3112	5.72
690	2927	3626	3169	5.69
700	2977	3696	3226	5.66
710	3027	3749	3282	5.62
720	3077	3806	3339	5.59
730	3131	3858	3394	5.56
740	3187	3919	3450	5.52
750	3237	3970	3505	5.48
760	3282	4027	3559	5.45
770	3337	4082	3614	5.41
780	3385	4136	3668	5.36
790	3432	4183	3721	5.32
800	3479	4223	3774	5.28
810	3524	4271	3827	5.23
820	3570	4310	3879	5.19
830	3619	4346	3930	5.14
840	3673	4374	3981	5.03
850	3711	4405	4031	4.81
860	3753	4433	4077	4.48
870	3798	4453	4121	4.13
880	3845	4474	4160	3.8
890	3874	4490	4197	3.49
900	3908	4508	4231	3.2
910	3947	4528	4261	2.93
920	3976	4544	4289	2.68
930	4006	4576	4315	2.46
940	4035	4605	4339	2.25
950	4061	4631	4360	2.06
960	4083	4656	4380	1.9
970	4109	4685	4399	1.75
980	4134	4704	4416	1.63
990	4153	4726	4431	1.51
1000	4168	4745	4446	1.39
1010	4187	4757	4459	1.28
1020	4195	4772	4472	1.17
1030	4210	4782	4483	1.07
1040	4225	4797	4493	0.97
1050	4233	4806	4502	0.87
1060	4256	4817	4511	0.78
1070	4261	4825	4518	0.69
1080	4273	4835	4524	0.61
1090	4280	4837	4530	0.53
1100	4279	4843	4535	0.45
1110	4277	4850	4539	0.38
1120	4279	4848	4543	0.31
1130	4287	4847	4546	0.25
1140	4284	4850	4548	0.19
1150	4283	4847	4549	0.13
1160	4283	4843	4550	0.08
1170	4283	4843	4551	0.03
1180	4281	4842	4551	-0.01
1190	4281	4839	4551	-0.05
1200	4279	4835	4550	-0.08
1210	4279	4833	4549	-0.11
1220	4277	4828	4548	-0.14
1230	4280	4823	4546	-0.16
1240	4274	4816	4545	-0.18
1250	4272	4811	4543	-0.2
1260	4266	4805	4541	-0.21
1270	4264	4802	4539	-0.21
1280	4262	4805	4537	-0.22
1290	4262	4804	4534	-0.21
1300	4261	4806	4532	-0.21
1310	4257	4802	4530	-0.19
1320	4254	4798	4528	-0.18
1330	4253	4798	4527	-0.15
1340	4248	4800	4525	-0.13
1350	4247	4803	4524	-0.09
1360	4247	4809	4523	-0.06
1370	4246	4814	4523	-0.01
1380	4245	4819	4523	0.03
1390	4244	4824	4524	0.09
1400	4245	4829	4525	0.14
1410	4247	4837	4527	0.21
1420	4250	4852	4529	0.27
1430	4252	4867	4532	0.35
1440	4253	4879	4536	0.42
1450	4257	4884	4540	0.5
1460	4263	4901	4546	0.59
1470	4272	4917	4552	0.68
1480	4284	4928	4559	0.78
1490	4296	4940	4568	0.88
1500	4306	4952	4577	0.99
1510	4317	4968	4587	1.1
1520	4328	4985	4599	1.22
1530	4342	5000	4612	1.34
1540	4356	5019	4625	1.46
1550	4372	5032	4641	1.59
1560	4389	5047	4657	1.73
1570	4409	5063	4675	1.87
1580	4431	5081	4695	2.02
1590	4458	5101	4715	2.17
1600	4485	5119	4738	2.33
1610	4515	5145	4762	2.49
1620	4546	5167	4787	2.65
1630	4578	5191	4815	2.82
1640	4615	5212	4844	3
1650	4650	5238	4874	3.18
1660	4684	5265	4907	3.36
1670	4726	5294	4942	3.56
1680	4770	5321	4978	3.75
1690	4812	5351	5016	3.93
1700	4856	5382	5056	4.1
1710	4900	5413	5098	4.25
1720	4944	5444	5141	4.4
1730	4992	5478	5186	4.54
1740	5039	5514	5232	4.66
1750	5091	5550	5279	4.78
1760	5138	5587	5327	4.88
1770	5185	5621	5377	4.98
1780	5233	5660	5427	5.06
1790	5281	5699	5478	5.13
1800	5329	5739	5529	5.2
1810	5380	5780	5581	5.25
1820	5432	5825	5634	5.29
1830	5478	5869	5687	5.32
1840	5528	5919	5740	5.33
1850	5574	5972	5794	5.34
1860	5617	6038	5847	NA
