"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	0	0	0	0
10	0	0	0	0	0
20	0	0	0	0	0
30	0	0	0	0	0
40	0	0	0	0	0
50	0	0	0	0	0
60	0	0	0	0	0
70	0	0	0	0	0
80	0	0	0	0	0
90	0	0	0	0	0
100	0	1	0	0	1
110	0	1	0	0	1
120	0	1	0	0	1
130	0	1	0	0	1
140	0	1	0	0	1
150	0	1	0	0	1
160	0	1	0	0	1
170	0	1	0	0	1
180	0	1	0	0	1
190	0	1	0	0	1
200	0	1	0	0	1
210	0	1	0	0	1
220	0	1	0	0	1
230	0	1	0	0	1
240	0	1	0	0	1
250	0	1	0	0	1
260	0	1	0	0	1
270	0	1	0	0	1
280	0	1	0	0	1
290	0	1	0	0	1
300	0	1	1	1	3
310	0	1	1	1	3
320	0	1	1	1	3
330	0	1	1	1	3
340	0	1	1	1	3
350	0	1	1	1	3
360	0	1	1	1	3
370	0	1	1	1	3
380	0	1	1	1	3
390	0	1	1	1	3
400	0	1	1	1	3
410	0	1	1	1	3
420	0	1	1	1	3
430	0	1	1	1	3
440	0	1	1	1	3
450	0	1	1	1	3
460	0	1	1	1	3
470	0	1	1	1	3
480	0	1	1	1	3
490	0	1	1	1	3
500	0	1	1	1	3
510	0	1	1	1	3
520	0	1	1	1	3
530	0	1	1	1	3
540	0	1	1	1	3
550	0	1	1	1	3
560	0	1	1	1	3
570	0	1	1	1	3
580	0	1	1	1	3
590	0	1	1	0	2
600	0	1	1	0	2
610	0	1	1	1	3
620	0	1	1	1	3
630	0	1	1	1	3
640	0	1	1	1	3
650	0	1	1	1	3
660	0	1	1	1	3
670	0	1	1	1	3
680	0	1	1	1	3
690	0	1	1	1	3
700	0	1	1	1	3
710	0	1	1	1	3
720	0	1	1	1	3
730	0	1	1	1	3
740	0	1	1	1	3
750	0	1	1	1	3
760	0	1	1	1	3
770	0	1	1	1	3
780	0	1	1	1	3
790	0	1	1	1	3
800	0	1	1	1	3
810	0	1	1	1	3
820	0	1	1	1	3
830	0	1	1	1	3
840	0	1	1	1	3
850	0	1	1	1	3
860	0	1	1	1	3
870	0	1	1	1	3
880	0	1	1	1	3
890	0	1	1	1	3
900	0	1	1	1	3
910	0	1	1	1	3
920	0	1	1	1	3
930	0	1	1	1	3
940	0	1	1	1	3
950	0	1	1	1	3
960	0	1	1	1	3
970	0	1	1	1	3
980	0	1	1	1	3
990	0	1	1	1	3
1000	0	1	1	1	3
1010	0	1	1	1	3
1020	0	1	1	1	3
1030	0	1	1	1	3
1040	0	1	1	1	3
1050	0	1	1	1	3
1060	0	1	1	1	3
1070	0	1	1	1	3
1080	0	1	1	1	3
1090	0	1	1	1	3
1100	0	1	1	1	3
1110	0	1	1	1	3
1120	0	1	1	1	3
1130	0	1	1	1	3
1140	0	1	1	1	3
1150	0	1	1	1	3
1160	0	1	1	1	3
1170	0	1	1	1	3
1180	0	1	1	1	3
1190	0	1	1	1	3
1200	0	1	1	1	3
1210	0	1	1	1	3
1220	0	1	1	1	3
1230	0	1	1	1	3
1240	0	1	1	1	3
1250	0	1	1	1	3
1260	0	1	1	1	3
1270	0	1	1	1	3
1280	0	1	1	1	3
1290	0	1	1	1	3
1300	0	1	1	1	3
1310	0	1	1	1	3
1320	0	1	1	1	3
1330	0	1	1	1	3
1340	0	1	1	1	3
1350	0	1	1	1	3
1360	0	1	1	1	3
1370	0	1	1	1	3
1380	0	1	1	1	3
1390	0	1	1	1	3
1400	0	1	1	1	3
1410	0	1	1	1	3
1420	0	1	1	1	3
1430	0	1	1	1	3
1440	0	1	1	1	3
1450	0	1	1	1	3
1460	0	1	1	1	3
1470	0	1	1	1	3
1480	0	1	1	1	3
1490	0	1	1	1	3
1500	0	1	1	1	3
1510	0	1	1	1	3
1520	0	1	1	1	3
1530	0	1	1	1	3
1540	0	1	1	1	3
1550	0	1	1	1	3
1560	0	1	1	1	3
1570	0	1	1	1	3
1580	0	1	1	1	3
1590	0	1	1	1	3
1600	0	1	1	1	3
1610	0	1	1	1	3
1620	0	1	1	1	3
1630	0	1	1	1	3
1640	0	1	1	1	3
1650	0	1	1	1	3
1660	0	1	1	1	3
1670	0	1	1	1	3
1680	0	1	1	1	3
1690	0	1	1	1	3
1700	0	1	1	1	3
1710	0	1	1	1	3
1720	0	1	1	1	3
1730	0	1	1	1	3
1740	0	1	1	1	3
1750	0	1	1	1	3
1760	0	1	1	1	3
1770	0	1	1	1	3
1780	0	1	1	1	3
1790	0	1	1	1	3
1800	0	1	1	1	3
1810	0	1	1	1	3
1820	0	1	1	1	3
1830	0	1	1	1	3
1840	0	1	1	1	3
1850	0	1	1	1	3
1860	0	1	1	1	3
