"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
10	0	0	0	0	0
20	0	0	0	0	0
30	0	0	0	0	0
40	0	0	0	0	0
50	0	0	0	0	0
60	0	1	0	0	1
70	0	1	0	0	1
80	0	1	0	0	1
90	0	1	0	0	1
100	0	1	0	0	1
110	0	1	1	1	3
120	0	1	1	1	3
130	0	1	1	1	3
140	0	1	1	1	3
150	0	1	1	1	3
160	0	1	1	1	3
170	0	1	1	1	3
180	0	1	1	1	3
190	0	1	1	1	3
200	0	1	1	1	3
210	0	1	1	1	3
220	0	1	1	1	3
230	0	1	1	1	3
240	0	1	1	1	3
250	0	1	1	0	2
260	0	1	0	0	1
270	0	1	1	1	3
280	0	1	1	1	3
290	0	1	1	1	3
300	0	1	1	0	2
310	0	1	0	0	1
320	0	1	0	0	1
326	0	1	0	0	1
