depth	min95%	max95%	best	acc.rate
0	-30422	-18184	-23807	367.73
10	-25852	-15258	-20130	367.73
20	-21282	-12332	-16453	367.73
30	-16711	-9407	-12775	367.73
40	-12141	-6488	-9098	367.73
50	-7571	-3554	-5421	367.73
60	-3000	-626	-1744	367.73
70	1526	2330	1934	367.73
80	4395	4849	4585	31
90	4731	5123	4895	31
100	5059	5399	5205	31
110	5386	5680	5515	31
120	5702	5970	5825	31
130	6011	6286	6135	31
140	6310	6623	6445	31
150	6603	6965	6755	31
160	6911	7272	7060	29.95
170	7229	7550	7360	29.95
180	7535	7832	7659	29.95
190	7833	8132	7959	29.95
200	8123	8444	8258	29.95
210	8401	8769	8557	29.95
220	8892	9245	9047	77.37
230	9661	9991	9820	77.37
240	10400	10775	10594	77.37
250	11052	11411	11239	55.89
260	11659	11933	11798	55.89
270	12252	12495	12357	55.89
280	12729	12979	12832	0.6
290	12721	12977	12838	0.6
300	12663	13022	12845	0.6
310	12584	13110	12851	266.89
320	15226	15639	15416	60.91
330	15067	15531	15304	-35.26
340	14643	15247	14952	-35.26
350	14261	15078	14672	37.53
360	14753	15344	15047	37.53
370	15174	15645	15423	37.53
380	15471	16053	15798	37.53
390	15701	16556	16173	37.53
400	15952	17061	16548	37.53
410	16197	17602	16924	37.53
420	16411	18146	17299	37.53
430	16633	18690	17674	37.53
440	16832	19236	18049	NA
