"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	0	0	0	0
10	0	0	0	0	0
20	0	0	0	0	0
30	0	0	0	0	0
40	0	0	0	0	0
50	0	0	0	0	0
60	0	1	0	0	1
70	0	1	1	1	3
80	0	1	1	1	3
90	0	1	0	0	1
100	0	1	0	0	1
110	0	1	1	1	3
120	0	1	1	1	3
130	0	1	1	1	3
140	0	1	1	1	3
150	0	1	1	1	3
160	0	1	1	1	3
170	0	1	1	1	3
180	0	1	1	1	3
190	0	1	1	0	2
200	0	1	1	1	3
210	0	1	1	1	3
220	1	1	1	1	4
230	1	1	1	0	3
240	1	1	1	1	4
250	1	1	1	1	4
260	1	1	1	1	4
270	1	1	1	1	4
280	1	1	1	1	4
290	1	1	1	1	4
300	1	1	1	1	4
310	1	1	1	1	4
320	0	1	1	1	3
330	0	1	1	1	3
340	0	1	1	1	3
350	0	1	1	1	3
360	0	1	1	1	3
370	0	1	1	1	3
380	0	1	1	1	3
390	0	1	1	0	2
400	0	1	1	0	2
410	0	1	0	0	1
420	0	1	0	0	1
430	0	1	0	0	1
440	0	0	0	0	0
