depth	min95%	max95%	best	acc.rate
0	-76	106	9	51.82
10	427	660	527	51.74
20	909	1254	1043	51.54
30	1381	1844	1557	51.2
40	1846	2417	2067	50.72
50	2313	2972	2572	50.11
60	2777	3497	3070	49.37
70	3243	4000	3560	48.49
80	3695	4466	4038	46.41
90	4140	4876	4488	43.22
100	4579	5254	4907	40.4
110	4997	5603	5299	37.94
120	5394	5923	5669	35.84
130	5774	6223	6019	34.11
140	6120	6527	6354	32.74
150	6452	6839	6677	31.73
160	6768	7179	6991	31.23
170	7079	7538	7305	31.97
180	7400	7919	7633	34.04
190	7749	8321	7988	37.44
200	8137	8764	8382	42.17
210	8584	9228	8830	48.24
220	9116	9715	9344	55.13
230	9702	10234	9917	59.11
240	10295	10764	10512	59.41
250	10876	11296	11095	56.38
260	11367	11810	11637	51.23
270	11801	12279	12119	44.06
280	12189	12729	12520	34.99
290	12519	13126	12835	28.12
300	12803	13475	13101	25.46
310	13081	13791	13359	26.98
320	13385	14075	13643	30.08
330	13710	14354	13956	32.62
340	14061	14641	14291	34.58
350	14422	14930	14644	35.98
360	14778	15243	15008	36.93
370	15125	15565	15380	37.49
380	15459	15952	15756	37.67
390	15758	16365	16133	37.67
400	16072	16790	16510	37.67
410	16385	17227	16886	37.67
420	16685	17669	17263	37.67
430	16970	18118	17640	37.67
440	17232	18576	18016	NA
