depth	min95%	max95%	best	acc.rate
0	-148	33	-54	1.89
2	-141	34	-50	1.89
4	-134	35	-47	1.89
6	-127	35	-43	1.89
8	-119	35	-39	1.89
10	-112	36	-35	1.89
12	-105	36	-31	1.89
14	-98	37	-28	1.89
15	-95	37	-26	1.89
16	-91	38	-24	1.89
17	-87	38	-22	1.89
18	-84	39	-20	1.89
19	-80	39	-18	1.89
21	-72	40	-14	1.89
23	-65	41	-11	1.89
25	-59	41	-7	1.89
27	-52	43	-3	1.89
29	-45	43	1	1.89
31	-37	44	4	1.89
33	-31	44	8	1.89
35	-23	45	12	1.89
37	-16	45	16	1.89
39	-9	46	19	1.89
41	-2	47	23	1.89
43	5	47	27	1.89
45	12	48	31	1.89
47	19	50	35	1.89
49	25	51	38	1.89
51	30	53	42	1.89
53	36	56	46	1.89
55	40	60	50	11.24
57	46	109	72	11.24
59	48	165	95	11.24
61	49	223	117	11.24
63	51	282	140	11.24
66	53	369	173	11.24
67	53	398	184	11.24
69	54	457	207	11.24
71	55	515	229	0.75
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
NA	NA	NA	NA	NA
