depth	min95%	max95%	best	acc.rate
0	-131	51	-29	8.23
10	-41	133	54	8.29
20	52	221	137	8.47
30	128	309	223	8.74
40	199	406	312	8.97
50	267	499	402	9.14
60	342	594	494	9.23
70	418	689	586	9.26
80	494	782	679	9.21
90	574	872	771	9.1
100	654	960	861	8.92
110	732	1045	949	8.67
120	818	1125	1034	8.36
130	898	1206	1116	7.97
140	974	1292	1194	7.53
150	1055	1375	1268	7.23
160	1139	1461	1339	7.09
170	1221	1546	1410	7.12
180	1311	1636	1482	7.31
190	1401	1726	1557	7.68
200	1496	1820	1636	8.22
210	1598	1916	1721	8.93
220	1698	2020	1814	9.8
230	1791	2111	1917	10.72
240	1888	2213	2027	11.24
250	1989	2324	2140	11.35
260	2091	2439	2252	11.04
270	2190	2539	2360	10.36
280	2285	2627	2461	9.77
290	2381	2727	2556	9.34
300	2476	2824	2648	9.07
310	2575	2928	2738	8.97
320	2673	3018	2828	9.04
330	2774	3123	2919	9.27
340	2881	3227	3014	9.67
350	2991	3345	3113	10.24
360	3109	3453	3218	10.97
370	3234	3561	3332	11.86
380	3360	3674	3455	12.87
390	3487	3795	3588	13.74
400	3622	3914	3729	14.44
410	3761	4035	3876	14.96
420	3909	4175	4027	15.31
430	4055	4318	4181	15.48
440	4200	4469	4336	15.48
450	4352	4612	4490	15.4
460	4507	4757	4645	15.51
470	4669	4923	4801	15.85
480	4842	5090	4962	16.39
490	5024	5271	5129	17.16
500	5202	5455	5305	18.13
510	5393	5644	5491	19.32
520	5595	5850	5690	20.6
530	5806	6068	5902	21.9
540	6032	6297	6127	23.2
550	6266	6543	6365	24.53
560	6517	6799	6616	25.86
570	6772	7071	6881	27.22
580	7040	7344	7159	28.58
590	7309	7632	7451	29.85
600	7578	7930	7754	30.76
610	7844	8241	8064	31.31
620	8117	8557	8378	31.49
630	8400	8867	8693	31.32
640	8683	9175	9004	30.78
650	8956	9484	9308	29.88
660	9227	9782	9601	28.65
670	9485	10070	9882	27.41
680	9743	10339	10151	26.24
690	9993	10604	10408	25.13
700	10234	10852	10655	24.08
710	10470	11094	10891	23.1
720	10701	11324	11118	22.18
730	10928	11540	11336	21.33
740	11150	11746	11546	20.54
750	11368	11949	11748	19.81
760	11583	12139	11943	19.15
770	11795	12323	12132	18.56
780	12007	12497	12315	18.03
790	12209	12670	12493	17.56
800	12414	12836	12667	17.16
810	12615	12999	12837	16.82
820	12817	13157	13003	16.54
830	13010	13320	13168	16.33
840	13190	13475	13330	16.19
850	13365	13643	13492	16.11
860	13530	13810	13653	16.09
870	13678	13975	13814	16.09
880	13821	14155	13975	NA
