depth	min95%	max95%	best	acc.rate
0	-98	94	-2	12.39
4	-37	132	47	12.39
8	24	173	97	12.39
12	78	214	146	12.39
16	129	263	196	12.39
20	177	313	245	12.39
24	225	366	295	12.39
28	270	421	344	12.39
32	313	477	394	12.39
36	409	558	483	25.48
40	517	653	585	25.48
44	619	755	687	25.48
46	664	809	738	25.48
48	709	864	789	25.48
50	754	922	840	25.48
52	794	981	891	25.48
54	834	1044	942	25.48
56	871	1109	992	25.48
58	910	1174	1043	25.48
60	949	1239	1094	25.48
62	986	1305	1145	25.48
64	1024	1371	1196	25.48
66	1066	1440	1247	25.48
68	1104	1507	1298	NA
