depth	min95%	max95%	best	acc.rate
1	-3111	-1105	-2618	89.03
4	-2822	-915	-2351	89.03
6	-2629	-771	-2173	89.03
8	-2436	-627	-1995	89.03
12	-2051	-346	-1639	89.03
16	-1668	-87	-1283	89.03
20	-1284	205	-927	89.03
24	-904	497	-570	89.03
28	-521	789	-214	89.03
32	-140	1078	142	89.03
36	244	1352	498	89.03
40	626	1614	854	89.03
44	1004	1910	1210	89.03
48	1376	2207	1566	89.03
50	1561	2355	1744	89.03
54	1919	2651	2100	89
58	2256	2947	2456	88.4
62	2566	3243	2807	87.05
66	2868	3542	3153	84.92
70	3166	3819	3488	82.03
74	3460	4096	3811	78.37
78	3733	4375	4118	73.95
82	3971	4636	4406	68.76
86	4175	4913	4673	62.8
90	4364	5178	4914	56.07
94	4510	5429	5128	49.63
98	4644	5687	5320	45.61
102	4773	5936	5499	44.07
106	4920	6194	5676	45.03
110	5081	6446	5861	48.47
114	5266	6704	6063	54.4
118	5503	6981	6292	62.82
122	5800	7280	6559	73.73
126	6155	7614	6873	87.13
130	6561	7992	7244	101.7
134	7008	8406	7671	114.77
138	7448	8852	8148	126.24
142	7788	9328	8668	136.11
146	8123	9832	9225	144.38
150	8478	10361	9813	151.06
154	8842	10907	10426	156.14
158	9219	11473	11056	159.62
162	9601	12162	11698	161.5
166	10005	12915	12345	161.88
170	10369	13716	12992	161.88
174	10752	14520	13640	161.88
178	11134	15338	14287	161.88
182	11517	16152	14935	NA
