depth	min95%	max95%	best	acc.rate
1	-63	126	34	34.85
4	45	227	138	34.85
6	119	294	208	34.85
8	192	361	278	34.85
12	337	495	417	34.85
16	480	630	556	34.85
20	622	768	696	34.85
24	759	908	835	34.85
28	895	1047	975	34.85
32	1029	1189	1114	34.85
36	1162	1330	1253	34.85
40	1296	1476	1393	34.85
44	1429	1618	1532	34.85
48	1561	1766	1672	34.85
50	1626	1841	1741	34.85
54	1802	2029	1924	96.46
58	2201	2405	2310	96.46
62	2596	2784	2695	96.46
66	2988	3167	3081	96.46
70	3370	3547	3467	96.46
74	3744	3932	3853	96.46
78	4118	4322	4239	96.46
82	4487	4714	4625	96.46
86	4856	5110	5011	96.46
90	5224	5509	5396	96.46
94	5404	5672	5568	17.01
98	5490	5729	5636	17.01
102	5572	5795	5704	17.01
106	5646	5864	5772	17.01
110	5723	5936	5840	17.01
114	5799	6011	5908	17.01
118	5860	6085	5976	17.01
122	5925	6160	6044	17.01
126	5985	6241	6112	17.01
130	6491	6742	6612	177.18
134	7206	7443	7321	177.18
138	7917	8155	8030	177.18
142	8622	8863	8739	177.18
146	9321	9580	9447	177.18
150	10028	10298	10156	177.18
154	10725	11019	10865	177.18
158	11419	11745	11574	177.18
162	12110	12473	12282	177.18
166	12747	13146	12938	177.18
170	13434	13873	13647	177.18
174	14118	14605	14355	177.18
178	14802	15338	15064	177.18
182	15486	16074	15773	NA
