"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
1	0	1	1	1	3
4	0	1	1	1	3
6	0	1	1	1	3
8	0	1	1	1	3
12	0	1	1	1	3
16	0	1	1	0	2
20	0	1	1	0	2
24	0	1	1	0	2
28	0	1	1	1	3
32	0	1	1	1	3
36	0	1	1	1	3
40	0	1	1	1	3
44	0	1	1	1	3
48	0	1	1	1	3
50	0	1	1	1	3
54	0	1	1	1	3
58	0	1	1	1	3
62	0	1	1	0	2
66	0	1	0	0	1
70	0	1	0	0	1
74	0	1	0	0	1
78	0	1	0	0	1
82	0	1	1	1	3
86	0	1	1	1	3
90	0	1	1	1	3
94	0	1	1	1	3
98	0	1	1	1	3
102	0	1	1	1	3
106	0	1	1	1	3
110	0	1	1	1	3
114	0	1	1	1	3
118	0	1	1	1	3
122	0	1	1	1	3
126	0	1	1	1	3
130	0	1	1	1	3
134	0	1	0	0	1
138	0	1	0	0	1
142	0	0	0	0	0
146	0	0	0	0	0
150	0	0	0	0	0
154	0	1	0	0	1
158	0	1	0	0	1
162	0	1	1	1	3
166	0	1	1	1	3
170	0	1	1	0	2
174	0	1	0	0	1
178	0	0	0	0	0
182	0	0	0	0	0
