"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	1	1	1	1	4
1	1	1	1	1	4
4	1	1	1	1	4
6	1	1	1	1	4
8	1	1	1	0	3
12	1	1	1	0	3
16	1	1	1	0	3
20	1	1	1	0	3
24	1	1	0	0	2
28	1	1	0	0	2
32	1	1	0	0	2
36	1	1	0	0	2
40	1	1	1	1	4
44	1	1	1	1	4
48	1	1	1	1	4
50	1	1	1	1	4
54	1	1	1	1	4
58	1	1	1	1	4
62	1	1	1	1	4
66	1	1	1	0	3
70	1	1	1	0	3
74	1	1	1	1	4
78	1	1	1	1	4
82	1	1	1	1	4
86	1	1	1	1	4
90	1	1	1	1	4
94	1	1	1	1	4
98	1	1	1	0	3
102	1	1	1	0	3
106	1	1	0	0	2
110	1	1	0	0	2
114	1	1	0	0	2
118	1	1	1	1	4
122	1	1	1	1	4
126	1	1	1	1	4
130	1	1	1	1	4
134	1	1	1	0	3
138	1	1	0	0	2
142	1	1	0	0	2
146	1	1	0	0	2
150	1	1	0	0	2
154	1	1	1	1	4
158	1	1	1	1	4
162	1	1	1	1	4
166	0	1	1	0	2
170	0	1	0	0	1
174	0	1	0	0	1
178	0	0	0	0	0
182	0	0	0	0	0
