depth	min95%	max95%	best	acc.rate
0	-333	152	-83	18.34
10	-144	328	100	18.34
20	45	505	284	18.34
30	233	682	467	18.34
40	424	859	651	18.34
50	610	1036	834	18.34
60	797	1211	1017	18.34
70	988	1387	1201	18.34
80	1180	1567	1384	18.34
90	1367	1744	1567	18.34
100	1559	1922	1751	18.34
110	1746	2101	1934	18.34
120	1938	2279	2117	18.34
130	2125	2459	2301	18.34
140	2316	2638	2484	18.34
150	2504	2817	2668	18.34
160	2693	2995	2851	18.34
170	2884	3173	3034	18.34
180	3075	3350	3218	18.34
190	3263	3529	3401	18.34
200	3455	3710	3584	18.34
210	3644	3889	3768	18.34
220	3831	4070	3951	18.34
230	4017	4248	4135	18.34
240	4203	4429	4318	18.34
250	4390	4613	4501	18.34
260	4572	4795	4685	18.34
270	4757	4977	4868	18.34
280	4942	5164	5051	18.34
290	5127	5350	5235	18.34
300	5309	5534	5418	18.34
310	5491	5717	5601	18.34
320	5672	5901	5785	18.34
330	5854	6086	5968	18.34
340	6035	6272	6152	18.34
350	6216	6458	6335	18.34
360	6398	6646	6518	18.34
370	6580	6833	6702	18.34
380	6762	7021	6885	18.34
390	6942	7209	7068	18.34
400	7121	7395	7252	18.34
410	7315	7594	7447	26.37
420	7575	7854	7711	26.37
430	7828	8120	7975	26.37
440	8081	8392	8238	26.37
450	8328	8667	8502	26.37
460	8569	8942	8766	26.37
470	8804	9222	9030	26.37
480	9041	9499	9293	26.37
490	9273	9778	9557	26.37
500	9507	10058	9821	26.37
510	9742	10340	10085	26.37
520	9975	10620	10348	26.37
530	10205	10908	10612	26.37
540	10433	11200	10876	26.37
550	10665	11482	11140	26.37
560	10893	11767	11403	26.37
570	11126	12049	11667	26.37
580	11359	12338	11931	26.37
590	11536	12517	12105	-9.45
600	11550	12376	12011	-9.45
610	11533	12252	11916	-9.45
620	11491	12148	11821	-9.45
630	11420	12113	11727	-9.45
640	11316	12072	11632	-9.45
650	11350	12159	11675	45.52
660	11799	12570	12131	45.52
670	12250	13017	12586	45.52
680	12676	13473	13041	45.52
690	13102	13939	13496	45.52
700	13484	14451	13951	45.52
710	13865	14972	14407	45.52
720	14240	15510	14862	45.52
730	14601	16050	15317	45.52
740	14840	16378	15610	-19.56
750	14728	16066	15414	-19.56
760	14612	15800	15219	-19.56
770	14481	15562	15023	-19.56
780	14328	15377	14827	-19.56
790	14164	15222	14632	-19.56
800	13972	15086	14436	-19.56
810	13700	14974	14241	-19.56
820	14997	15657	15304	-57.33
830	14471	15014	14731	-57.33
840	13893	14397	14157	-57.33
850	13281	13812	13584	-57.33
860	12657	13238	13011	-57.33
870	12161	12819	12561	25.1
880	12465	13090	12812	25.1
890	12758	13418	13063	25.1
900	12978	13768	13314	25.1
910	13158	14181	13565	25.1
920	13307	14582	13804	25.1
930	13449	14993	14055	25.1
940	13587	15394	14306	25.1
950	13714	15797	14557	25.1
960	13851	16197	14808	25.1
970	13986	16593	15059	25.1
980	14112	16996	15310	25.1
990	14239	17390	15561	25.1
1000	14378	17790	15812	25.1
1010	14512	18191	16063	25.1
1020	14645	18591	16314	25.1
1030	14778	18991	16565	25.1
1040	14911	19392	16816	25.1
1050	15047	19792	17067	25.1
1060	15184	20191	17319	25.1
1070	15320	20607	17570	25.1
1080	15459	21027	17821	25.1
1090	15594	21446	18072	25.1
1100	15727	21865	18323	25.1
1110	15861	22284	18574	25.1
1120	15998	22704	18825	25.1
1130	16131	23123	19076	25.1
1140	16264	23542	19327	25.1
1150	16397	23961	19578	25.1
1160	16529	24377	19829	25.1
1170	16662	24779	20080	25.1
1180	16796	25181	20331	25.1
1190	16929	25583	20582	25.1
1200	17063	25984	20833	25.1
1210	17197	26386	21084	25.1
1220	17330	26787	21335	25.1
1230	17464	27189	21586	NA
