"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	0	0	1
10	0	1	0	0	1
20	0	1	0	0	1
30	0	1	0	0	1
40	0	1	1	1	3
50	0	1	1	1	3
60	0	1	1	1	3
70	0	1	1	1	3
80	0	1	1	1	3
90	0	1	1	1	3
100	0	1	1	1	3
110	0	1	1	1	3
120	0	1	1	1	3
130	0	1	1	0	2
140	0	1	1	0	2
150	0	1	0	0	1
160	0	1	0	0	1
170	0	1	0	0	1
180	0	1	0	0	1
190	0	1	0	0	1
200	0	1	0	0	1
210	0	0	0	0	0
220	0	0	0	0	0
230	0	0	0	0	0
240	0	0	0	0	0
250	0	0	0	0	0
260	0	0	0	0	0
270	0	0	0	0	0
280	0	0	0	0	0
290	0	0	0	0	0
300	0	1	0	0	1
310	0	1	0	0	1
320	0	1	0	0	1
330	0	1	0	0	1
340	0	1	0	0	1
350	0	1	0	0	1
360	0	1	1	1	3
370	0	1	1	1	3
380	0	1	1	1	3
390	0	1	1	1	3
400	0	1	1	1	3
410	0	1	1	1	3
420	0	1	1	1	3
430	0	1	1	0	2
440	0	1	1	0	2
450	0	1	0	0	1
460	0	1	0	0	1
470	0	1	0	0	1
480	0	1	0	0	1
490	0	0	0	0	0
500	0	1	0	0	1
510	0	1	0	0	1
520	0	1	0	0	1
530	0	1	0	0	1
540	0	1	1	1	3
550	0	1	1	1	3
560	0	1	1	1	3
570	0	1	1	1	3
580	0	1	1	1	3
590	0	1	1	1	3
600	0	1	1	1	3
610	0	1	1	1	3
620	0	1	1	1	3
630	0	1	1	1	3
640	0	1	1	1	3
650	0	1	1	1	3
660	0	1	1	1	3
670	0	1	1	1	3
680	0	1	1	1	3
690	0	1	1	1	3
700	0	1	1	1	3
710	0	1	1	1	3
720	0	1	1	1	3
730	0	1	1	1	3
740	0	1	1	1	3
750	0	1	1	1	3
760	0	1	1	1	3
770	0	1	1	1	3
780	0	1	1	1	3
790	0	1	1	1	3
800	0	1	1	1	3
810	0	1	1	1	3
820	0	1	1	1	3
830	0	1	1	1	3
840	0	1	1	1	3
850	0	1	1	1	3
860	0	1	1	1	3
870	0	1	1	1	3
880	0	1	1	0	2
890	0	1	1	0	2
900	0	1	1	0	2
910	0	1	1	0	2
920	0	1	1	0	2
930	0	1	1	0	2
940	0	1	0	0	1
950	0	1	1	1	3
960	0	1	1	1	3
970	0	1	1	1	3
980	0	1	1	1	3
990	0	1	1	1	3
1000	0	1	1	1	3
1010	0	1	1	1	3
1020	0	1	1	0	2
1030	0	1	1	0	2
1040	0	1	0	0	1
1050	0	1	0	0	1
1060	0	1	0	0	1
1070	0	1	0	0	1
1080	0	0	0	0	0
1090	0	0	0	0	0
1100	0	0	0	0	0
1110	0	0	0	0	0
1120	0	0	0	0	0
1130	0	0	0	0	0
1140	0	0	0	0	0
1150	0	0	0	0	0
1160	0	0	0	0	0
1170	0	0	0	0	0
1180	0	0	0	0	0
1190	0	0	0	0	0
1200	0	0	0	0	0
1210	0	0	0	0	0
1220	0	0	0	0	0
1230	0	0	0	0	0
