depth	min95%	max95%	best	acc.rate
0	-136	667	339	13.79
10	40	786	476	13.79
20	216	900	614	13.79
30	388	1020	752	13.79
40	567	1140	890	13.79
50	738	1259	1028	13.79
60	913	1381	1166	13.79
70	1077	1504	1304	13.79
80	1234	1628	1442	13.79
90	1375	1752	1580	13.79
100	1523	1883	1718	13.8
110	1673	2024	1856	13.83
120	1816	2175	1994	13.88
130	1958	2344	2134	13.97
140	2093	2516	2274	14.08
150	2218	2687	2415	14.23
160	2356	2868	2558	14.4
170	2492	3050	2703	14.6
180	2629	3234	2850	14.82
190	2775	3413	2999	15.08
200	2910	3595	3151	15.36
210	3053	3778	3306	15.68
220	3201	3964	3465	16.02
230	3355	4148	3626	16.39
240	3514	4333	3792	16.78
250	3676	4516	3962	17.21
260	3844	4701	4136	17.67
270	4020	4886	4315	18.15
280	4200	5068	4499	18.66
290	4390	5254	4688	19.2
300	4587	5443	4882	19.77
310	4792	5625	5082	20.36
320	5008	5812	5289	20.99
330	5228	6001	5502	21.64
340	5461	6179	5721	22.32
350	5706	6363	5947	23.03
360	5960	6549	6181	23.77
370	6225	6741	6422	24.53
380	6497	6932	6671	25.33
390	6777	7122	6928	26.15
400	7070	7348	7193	27
410	7352	7635	7467	27.88
420	7576	7946	7749	28.61
430	7780	8262	8038	29.12
440	7973	8585	8331	29.41
450	8145	8920	8625	29.48
460	8339	9246	8920	29.33
470	8527	9573	9211	28.95
480	8710	9894	9498	28.36
490	8892	10198	9778	27.54
500	9076	10508	10049	26.5
510	9261	10782	10309	25.24
520	9446	11037	10555	23.76
530	9632	11278	10785	22.05
540	9816	11493	10997	20.13
550	9984	11671	11189	17.98
560	10147	11820	11358	15.61
570	10308	11935	11503	13.02
580	10466	12043	11620	10.21
590	10631	12219	11709	7.26
600	10810	12413	11772	5.53
610	10963	12611	11826	5.49
620	11126	12827	11887	7.13
630	11342	13035	11972	10.46
640	11577	13281	12098	15.48
650	11806	13528	12281	22.03
660	11986	13805	12529	27.83
670	12178	14092	12828	32.07
680	12410	14330	13162	34.76
690	12667	14603	13516	35.91
700	12957	14833	13874	35.5
710	13243	15077	14222	33.53
720	13542	15278	14543	30.02
730	13812	15448	14821	24.96
740	14059	15612	15042	18.42
750	14271	15732	15196	11.73
760	14445	15805	15284	5.31
770	14524	15840	15310	-0.81
780	14619	15792	15275	-6.65
790	14559	15687	15183	-12.21
800	14391	15528	15037	-17.48
810	14182	15314	14840	-22.47
820	13916	15110	14593	-27.53
830	13646	14905	14301	-30.68
840	13394	14727	13990	-30.93
850	13157	14582	13691	-28.3
860	12968	14400	13430	-22.77
870	12797	14260	13238	-14.46
880	12499	14136	13131	-6.47
890	12282	14001	13095	-0.36
900	12051	13873	13112	3.9
910	11813	13799	13163	6.3
920	11592	13758	13230	6.88
930	11335	13797	13299	6.88
940	11111	13974	13368	6.88
950	10896	14162	13437	6.88
960	10682	14374	13506	6.88
970	10468	14583	13575	6.88
980	10254	14796	13643	6.88
990	10040	15007	13712	6.88
1000	9826	15215	13781	6.88
1010	9612	15433	13850	6.88
1020	9398	15643	13919	6.88
1030	9184	15853	13987	6.88
1040	8970	16066	14056	6.88
1050	8756	16278	14125	6.88
1060	8529	16490	14194	6.88
1070	8298	16699	14263	6.88
1080	8067	16908	14331	6.88
1090	7835	17117	14400	6.88
1100	7618	17326	14469	6.88
1110	7401	17537	14538	6.88
1120	7184	17749	14607	6.88
1130	6967	17960	14676	6.88
1140	6750	18172	14744	6.88
1150	6533	18383	14813	6.88
1160	6316	18594	14882	6.88
1170	6099	18808	14951	6.88
1180	5882	19022	15020	6.88
1190	5665	19236	15088	6.88
1200	5448	19450	15157	6.88
1210	5231	19664	15226	6.88
1220	5014	19878	15295	6.88
1230	4797	20091	15364	NA
