depth	min95%	max95%	best	acc.rate
0	-101	94	-2	4.15
10	-53	132	39	4.15
20	-7	169	81	4.15
30	35	209	122	4.15
40	75	251	164	4.15
50	114	293	205	4.15
60	152	337	247	4.15
70	192	386	288	4.15
80	230	435	330	4.15
90	268	487	371	4.15
100	304	539	413	4.15
110	342	591	454	4.15
120	378	643	496	4.15
130	411	696	537	4.15
140	444	751	579	4.15
150	477	807	620	4.15
160	510	861	662	4.15
170	633	956	780	25.99
180	709	1137	900	0.67
190	722	1140	907	0.67
200	732	1142	914	0.67
210	746	1142	921	0.67
220	756	1145	927	0.67
230	765	1146	934	0.67
240	775	1148	941	0.67
250	787	1151	948	0.67
260	797	1156	954	0.67
270	806	1160	961	0.67
280	814	1161	968	0.67
290	822	1162	974	0.67
300	831	1164	981	0.67
310	838	1166	988	0.67
320	844	1167	995	0.67
330	850	1173	1001	0.67
340	856	1177	1008	0.67
350	863	1180	1015	0.67
360	869	1185	1022	0.67
370	875	1187	1028	0.67
380	882	1191	1035	0.67
390	889	1197	1042	0.67
400	896	1198	1049	0.67
410	902	1206	1055	0.67
420	908	1215	1062	0.67
430	913	1226	1069	0.67
440	920	1236	1075	0.67
450	926	1241	1082	0.67
460	932	1250	1089	0.67
470	937	1258	1096	0.67
480	939	1271	1102	0.67
490	944	1281	1109	0.67
500	948	1290	1116	0.67
510	955	1305	1123	0.67
520	957	1320	1129	0.67
530	958	1329	1136	0.67
540	962	1336	1143	0.67
550	965	1344	1150	0.67
560	968	1358	1156	NA
