depth	min95%	max95%	best	acc.rate
0	-63	129	9	5
10	-11	173	59	5
20	41	218	109	4.98
30	91	262	159	4.96
40	137	308	208	4.92
50	183	353	257	4.88
60	228	401	305	4.82
70	273	455	353	4.76
80	315	503	401	4.68
90	357	555	447	4.6
100	398	606	493	4.5
110	439	654	537	4.4
120	477	703	581	4.28
130	513	752	623	4.16
140	547	800	664	4.02
150	580	846	703	3.88
160	613	891	741	3.72
170	643	934	778	3.55
180	672	975	813	3.36
190	700	1014	845	3.17
200	727	1051	876	2.98
210	752	1083	905	2.8
220	777	1113	932	2.63
230	800	1139	958	2.46
240	821	1163	982	2.29
250	842	1184	1004	2.13
260	860	1206	1025	1.97
270	877	1228	1044	1.82
280	894	1249	1061	1.68
290	909	1266	1077	1.54
300	923	1285	1092	1.4
310	940	1296	1106	1.27
320	952	1306	1118	1.15
330	963	1313	1129	1.03
340	974	1322	1138	0.91
350	983	1333	1147	0.8
360	992	1343	1155	0.7
370	997	1350	1161	0.6
380	1003	1354	1167	0.51
390	1009	1357	1171	0.42
400	1016	1358	1175	0.33
410	1019	1359	1178	0.26
420	1021	1358	1180	0.18
430	1023	1360	1182	0.11
440	1023	1363	1183	0.05
450	1023	1367	1183	-0.01
460	1023	1370	1183	-0.06
470	1022	1370	1182	-0.11
480	1023	1374	1181	-0.15
490	1020	1375	1179	-0.19
500	1017	1375	1177	-0.22
510	1014	1377	1174	-0.25
520	1009	1385	1172	-0.27
530	1005	1392	1169	-0.29
540	997	1398	1166	-0.3
550	989	1401	1163	-0.31
560	981	1410	1160	NA
