"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
10	0	1	1	1	3
20	0	1	1	1	3
30	0	1	1	1	3
40	0	1	1	1	3
50	0	1	1	1	3
60	0	1	1	1	3
70	0	1	1	1	3
80	0	1	1	1	3
90	0	1	1	1	3
100	0	1	1	1	3
110	0	1	1	1	3
120	0	1	1	1	3
130	0	1	1	1	3
140	0	1	1	1	3
150	0	1	1	1	3
160	0	1	1	1	3
170	0	1	1	1	3
180	0	1	1	1	3
190	0	1	1	1	3
200	0	1	1	1	3
210	0	1	1	1	3
220	0	1	1	1	3
230	0	1	1	1	3
240	0	1	1	1	3
250	0	1	1	1	3
260	0	1	1	1	3
270	0	1	1	1	3
280	0	1	1	1	3
290	0	1	1	1	3
300	0	1	1	1	3
310	0	1	1	1	3
320	0	1	1	1	3
330	0	1	1	1	3
340	0	1	1	1	3
350	0	1	1	1	3
360	0	1	1	1	3
370	0	1	1	1	3
380	0	1	1	1	3
390	0	1	1	1	3
400	0	1	1	1	3
410	0	1	1	1	3
420	0	1	1	1	3
430	0	1	1	1	3
440	0	1	1	1	3
450	0	1	1	1	3
460	0	1	1	1	3
470	0	1	1	1	3
480	0	1	1	1	3
490	0	1	1	1	3
500	0	1	1	1	3
510	0	1	1	1	3
520	0	1	1	1	3
530	0	1	1	1	3
540	0	1	1	1	3
550	0	1	1	1	3
560	0	1	1	1	3
570	0	1	1	1	3
580	0	1	1	1	3
590	0	1	1	1	3
600	0	1	1	1	3
610	0	1	1	1	3
620	0	1	1	1	3
630	0	1	1	1	3
640	0	1	1	1	3
650	0	1	1	1	3
660	0	1	1	1	3
670	0	1	1	1	3
680	0	1	1	1	3
690	0	1	1	1	3
700	0	1	1	1	3
710	0	1	1	1	3
720	0	1	1	1	3
730	0	1	1	1	3
736	0	1	1	1	3
