depth	min95%	max95%	best	acc.rate
0	-31691	-19489	-25882	45.09
12.5	-31037	-19026	-25318	45.09
25	-30382	-18563	-24755	45.09
37.5	-29728	-18100	-24191	45.09
50	-29073	-17637	-23628	45.09
62.5	-28418	-17174	-23064	45.09
75	-27764	-16711	-22500	45.09
87.5	-27109	-16248	-21937	45.09
100	-26455	-15785	-21373	45.09
112.5	-25800	-15322	-20809	45.09
125	-25146	-14859	-20246	45.09
137.5	-24491	-14396	-19682	45.09
150	-23837	-13933	-19119	45.09
162.5	-23182	-13470	-18555	45.09
175	-22528	-13007	-17991	45.09
187.5	-21873	-12544	-17428	45.09
200	-21218	-12081	-16864	45.09
212.5	-20564	-11618	-16300	45.09
225	-19909	-11155	-15737	45.09
237.5	-19255	-10692	-15173	45.09
250	-18600	-10229	-14609	45.09
262.5	-17946	-9766	-14046	45.09
275	-17291	-9303	-13482	45.09
287.5	-16637	-8840	-12919	45.09
300	-15982	-8377	-12355	45.09
312.5	-15327	-7914	-11791	45.09
325	-14673	-7451	-11228	45.09
337.5	-14018	-6988	-10664	45.09
350	-13364	-6525	-10100	45.09
362.5	-12709	-6062	-9537	45.09
375	-12055	-5597	-8973	45.09
387.5	-11400	-5133	-8409	45.09
400	-10746	-4669	-7846	45.09
412.5	-10091	-4204	-7282	45.09
425	-9437	-3742	-6719	45.09
437.5	-8782	-3279	-6155	45.09
450	-8127	-2817	-5591	45.09
462.5	-7473	-2354	-5028	45.09
475	-6818	-1891	-4464	45.09
487.5	-6164	-1429	-3900	45.09
500	-5509	-966	-3337	45.09
512.5	-4855	-504	-2773	45.09
525	-4200	-41	-2209	45.09
537.5	-3545	422	-1646	45.09
550	-2890	884	-1082	45.09
562.5	-2233	1347	-519	45.09
575	-1575	1809	45	45.09
587.5	-917	2272	609	45.09
600	-259	2735	1172	45.09
612.5	399	3198	1736	45.09
625	1058	3661	2300	45.09
637.5	1716	4127	2863	45.09
650	2371	4595	3427	45.09
662.5	3027	5064	3991	45.09
675	3688	5533	4554	45.09
687.5	4345	5994	5118	45.09
700	4996	6454	5681	45.09
712.5	5641	6917	6245	45.09
725	6294	7383	6809	45.09
737.5	6943	7853	7372	45.09
750	7586	8322	7936	45.09
762.5	8235	8797	8500	45.09
775	8830	9274	9041	45.09
787.5	9421	9806	9604	45.09
800	9980	10363	10168	45.09
812.5	10510	10953	10732	45.09
825	10991	11549	11273	45.09
837.5	11474	12193	11836	45.09
850	11930	12842	12400	45.09
862.5	12387	13485	12964	45.09
875	12858	14148	13527	45.09
887.5	13313	14800	14091	45.09
900	13777	15452	14655	45.09
912.5	14249	16111	15218	45.09
925	14712	16772	15782	45.09
937.5	15168	17431	16345	45.09
950	15626	18082	16909	NA
