"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	0	0	1
12.5	0	1	0	0	1
25	0	1	1	1	3
37.5	0	1	1	1	3
50	0	1	1	1	3
62.5	0	1	1	1	3
75	0	1	1	1	3
87.5	0	1	1	1	3
100	0	1	1	1	3
112.5	0	1	1	1	3
125	0	1	1	1	3
137.5	0	1	1	1	3
150	0	1	1	0	2
162.5	0	1	1	0	2
175	0	1	1	0	2
187.5	0	1	0	0	1
200	0	1	0	0	1
212.5	0	1	0	0	1
225	0	1	0	0	1
237.5	0	1	0	0	1
250	0	1	0	0	1
262.5	0	0	0	0	0
275	0	0	0	0	0
287.5	0	0	0	0	0
300	0	0	0	0	0
312.5	0	0	0	0	0
325	0	0	0	0	0
337.5	0	0	0	0	0
350	0	0	0	0	0
362.5	0	0	0	0	0
375	0	0	0	0	0
387.5	0	0	0	0	0
400	0	0	0	0	0
412.5	0	0	0	0	0
425	0	0	0	0	0
437.5	0	0	0	0	0
450	0	0	0	0	0
462.5	0	0	0	0	0
475	0	0	0	0	0
487.5	0	0	0	0	0
500	0	0	0	0	0
512.5	0	0	0	0	0
525	0	0	0	0	0
537.5	0	0	0	0	0
550	0	0	0	0	0
562.5	0	0	0	0	0
575	0	0	0	0	0
587.5	0	0	0	0	0
600	0	0	0	0	0
612.5	0	0	0	0	0
625	0	1	0	0	1
637.5	0	1	0	0	1
650	0	1	0	0	1
662.5	0	1	0	0	1
675	0	1	0	0	1
687.5	0	1	0	0	1
700	0	1	1	1	3
712.5	0	1	1	1	3
725	0	1	1	1	3
737.5	0	1	1	1	3
750	0	1	1	1	3
762.5	0	1	1	1	3
775	0	1	1	1	3
787.5	0	1	1	0	2
800	0	1	1	1	3
812.5	0	1	1	1	3
825	0	1	1	1	3
837.5	0	1	1	0	2
850	0	1	0	0	1
862.5	0	0	0	0	0
875	0	0	0	0	0
887.5	0	0	0	0	0
900	0	0	0	0	0
912.5	0	0	0	0	0
925	0	0	0	0	0
937.5	0	0	0	0	0
950	0	0	0	0	0
