depth	min95%	max95%	best	acc.rate
0	-10	-6	-8	-0.63
2	-11	-7	-9	-0.46
4	-12	-8	-10	-0.08
6	-11	-8	-9	0.52
8	-9	-6	-8	1.34
10	-7	-1	-5	2.38
12	-5	9	0	3.49
14	-2	24	8	4.51
16	2	41	17	5.43
18	8	60	29	6.27
20	14	82	42	7.02
22	23	104	56	7.68
24	32	128	72	8.24
26	42	151	88	8.72
28	53	176	106	9.08
30	65	198	124	9.33
32	77	221	143	9.46
34	90	246	162	9.47
36	103	271	181	9.37
38	116	295	200	9.15
40	129	318	218	8.82
42	142	337	235	8.46
44	156	356	252	8.16
46	171	372	268	7.91
48	186	387	284	7.72
50	201	400	299	7.59
52	218	413	314	7.52
54	236	425	329	7.5
56	252	436	344	7.54
58	269	446	360	7.63
60	287	455	375	7.79
62	308	467	391	8
64	327	479	407	8.27
66	350	491	423	8.59
68	370	504	441	8.97
70	394	521	459	9.41
72	418	538	478	9.91
74	442	556	498	10.47
76	465	575	519	11.08
78	490	595	542	11.74
80	516	618	566	12.47
82	541	641	591	13.25
84	570	664	618	14.09
86	599	692	646	14.98
88	631	721	677	15.87
90	663	752	709	16.77
92	697	786	743	17.65
94	733	820	779	18.54
96	771	857	816	19.42
98	811	895	856	20.3
100	852	934	897	21.18
102	895	975	939	22.02
104	938	1019	984	22.79
106	983	1063	1030	23.49
108	1030	1110	1077	24.12
110	1077	1157	1126	24.68
112	1127	1204	1175	25.18
114	1176	1254	1226	25.6
116	1226	1305	1277	25.96
118	1279	1357	1329	26.28
120	1332	1411	1382	26.56
122	1386	1466	1435	26.81
124	1440	1521	1489	27.03
126	1496	1577	1543	27.21
128	1549	1634	1598	27.35
130	1604	1691	1652	27.46
132	1660	1748	1707	27.56
134	1714	1807	1763	27.67
136	1768	1866	1818	27.79
138	1825	1925	1874	27.92
140	1877	1984	1930	28.07
142	1930	2044	1986	28.22
144	1984	2106	2042	28.38
146	2036	2167	2099	28.56
148	2087	2229	2156	28.73
150	2140	2292	2214	28.87
152	2193	2354	2272	28.99
154	2243	2419	2330	29.08
156	2292	2482	2388	29.14
158	2342	2546	2446	29.18
160	2394	2615	2505	29.2
162	2443	2680	2563	29.2
164	2495	2747	2621	29.2
166	2544	2811	2680	29.2
168	2593	2879	2738	29.2
170	2642	2943	2797	NA
