depth	min95%	max95%	best	acc.rate
0	-76	-38	-57	2.59
2	-83	-28	-52	2.63
4	-108	-13	-47	2.71
6	-129	8	-41	2.84
8	-151	29	-36	3.01
10	-167	50	-30	3.23
12	-188	72	-23	3.5
14	-209	94	-16	3.81
16	-229	115	-8	4.17
18	-248	136	1	4.58
20	-266	158	10	5.04
22	-281	181	20	5.54
24	-294	204	32	6.08
26	-306	227	44	6.68
28	-309	251	58	7.32
30	-308	275	73	8.01
32	-303	299	89	8.74
34	-294	324	107	9.52
36	-287	349	126	10.35
38	-281	375	148	11.22
40	-271	404	170	12.14
42	-258	433	195	13.11
44	-241	459	222	14.12
46	-220	487	251	15.18
48	-196	520	282	16.29
50	-167	552	315	17.44
52	-129	586	350	18.64
54	-85	624	388	19.89
56	-36	655	429	21.18
58	2	694	472	22.52
60	45	735	517	23.91
62	104	778	566	25.34
64	176	825	617	26.82
66	252	877	672	28.34
68	320	930	729	29.92
70	398	981	790	31.56
72	492	1051	854	34.22
74	572	1110	924	38.58
76	663	1183	1004	44.64
78	773	1286	1097	52.41
80	897	1413	1207	61.87
82	1047	1573	1336	73.04
84	1200	1773	1488	85.91
86	1394	2001	1667	100.48
88	1602	2270	1876	116.75
90	1855	2575	2118	134.72
92	2077	2932	2397	154.12
94	2296	3322	2715	174.75
96	2517	3754	3076	196.62
98	2766	4219	3480	219.73
100	3053	4707	3931	240.36
102	3361	5202	4419	252.44
104	3689	5694	4927	255.76
106	4032	6189	5437	250.32
108	4375	6654	5931	236.12
110	4708	7066	6393	213.21
112	5028	7473	6806	186.8
114	5332	7824	7167	162.11
116	5622	8141	7480	139.19
118	5897	8404	7747	118.03
120	6161	8622	7973	98.64
122	6413	8814	8162	81.02
124	6654	8961	8316	65.17
126	6891	9090	8439	51.09
128	7111	9238	8534	38.77
130	7321	9338	8606	28.22
132	7533	9461	8658	19.44
134	7739	9568	8693	12.43
136	7936	9651	8715	7.18
138	8124	9699	8728	3.7
140	8302	9742	8734	1.99
142	8464	9787	8738	NA
