"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
0	0	1	1	1	3
2	0	1	1	1	3
4	0	1	1	1	3
6	0	1	1	1	3
8	0	1	1	1	3
10	0	1	1	1	3
12	0	1	1	1	3
14	0	1	1	1	3
16	0	1	1	1	3
18	0	1	1	1	3
20	0	1	1	1	3
22	0	1	1	1	3
24	0	1	1	1	3
26	0	1	1	1	3
28	0	1	1	1	3
30	0	1	1	1	3
32	0	1	1	1	3
34	0	1	1	1	3
36	0	1	1	1	3
38	0	1	1	1	3
40	0	1	1	1	3
42	0	1	1	1	3
44	0	1	1	1	3
46	0	1	1	1	3
48	0	1	1	1	3
50	0	1	1	1	3
52	0	1	1	1	3
54	0	1	1	1	3
56	0	1	1	1	3
58	0	1	1	1	3
60	0	1	1	1	3
62	0	1	1	1	3
64	0	1	1	1	3
66	0	1	1	1	3
68	0	1	1	1	3
70	0	1	1	1	3
72	0	1	1	1	3
74	0	1	1	1	3
76	0	1	1	1	3
78	0	1	1	1	3
80	0	1	1	0	2
82	0	1	1	1	3
84	0	1	1	1	3
86	0	1	1	1	3
88	0	1	1	1	3
90	0	1	1	1	3
92	0	1	1	1	3
94	0	1	1	1	3
96	0	1	1	1	3
98	0	1	1	1	3
100	0	1	1	1	3
102	0	1	1	0	2
104	0	1	0	0	1
106	0	1	1	1	3
108	0	1	1	1	3
110	0	1	1	1	3
112	0	1	1	0	2
114	0	1	0	0	1
116	0	1	0	0	1
118	0	1	0	0	1
120	0	1	0	0	1
122	0	1	1	1	3
124	0	1	1	1	3
126	0	1	1	1	3
128	0	1	1	1	3
130	0	1	1	1	3
132	0	1	1	1	3
134	0	1	1	1	3
136	0	1	1	1	3
138	0	1	1	1	3
140	0	1	1	1	3
142	0	1	1	1	3
