depth	min95%	max95%	best	acc.rate
90	1486	1826	1651	1.95
120	1547	1873	1709	1.95
150	2351	2656	2505	51.11
180	3848	4193	4039	51.11
210	5288	5789	5572	51.11
240	5909	6308	6111	14.27
270	6213	6806	6505	2.83
300	6355	6856	6589	2.83
330	6448	6915	6674	2.83
360	6556	6998	6759	2.83
390	6611	7101	6844	2.83
420	6669	7221	6929	2.83
450	6725	7315	7009	2.23
480	6822	7355	7075	2.23
510	6920	7395	7142	2.23
540	6996	7442	7209	2.23
570	7057	7493	7276	2.23
600	7117	7579	7343	2.23
630	7160	7671	7410	2.23
660	7197	7769	7477	2.23
690	7525	8086	7799	19.25
720	8043	8724	8377	19.25
750	8493	9427	8954	19.25
780	8920	10198	9532	19.25
810	9342	10996	10109	19.25
840	9735	11783	10687	19.25
870	10139	12576	11264	NA
