depth	min95%	max95%	best	acc.rate
90	1219	2533	1788	21.22
120	1943	3276	2453	23.45
150	2658	4020	3204	26.55
180	3421	4716	4017	27.19
210	4183	5361	4806	24.83
240	4911	5892	5490	20.59
270	5509	6326	6042	15.97
300	5981	6723	6457	11.67
330	6329	7048	6753	8.12
360	6579	7275	6954	5.32
390	6744	7428	7083	3.28
420	6866	7541	7160	1.99
450	6937	7610	7210	1.43
480	6969	7709	7250	1.29
510	7002	7773	7291	1.45
540	7044	7903	7340	1.91
570	7107	8046	7408	2.69
600	7208	8193	7504	3.77
630	7358	8356	7636	5.16
660	7513	8558	7815	6.85
690	7621	8792	8048	8.75
720	7757	9041	8333	10.23
750	7855	9313	8655	11.2
780	7942	9630	8999	11.66
810	8025	9996	9350	11.7
840	8090	10449	9701	11.7
870	8141	10904	10052	NA
