depth	min95%	max95%	best	acc.rate
16	-337	32	-189	8.39
32	-180	132	-54	8.39
48	-24	234	80	8.39
64	130	340	214	8.39
80	279	447	348	8.39
96	424	559	483	8.39
112	568	708	617	8.39
128	706	863	751	8.39
144	842	978	887	8.51
160	971	1086	1023	8.51
176	1091	1197	1159	8.51
192	1208	1324	1293	6.88
208	1332	1432	1403	6.88
224	1449	1549	1513	6.88
240	1560	1668	1624	6.88
256	1674	1790	1734	6.88
272	1732	1841	1787	1.97
288	1764	1873	1819	1.97
304	1796	1910	1850	1.97
320	1823	1948	1882	1.97
336	1839	1991	1913	2.54
352	1897	2044	1962	3.1
368	1948	2116	2012	3.1
384	1985	2197	2062	3.1
400	2014	2287	2111	1.55
416	2033	2378	2159	3.1
432	2053	2477	2209	3.1
448	2073	2575	2259	3.1
464	2089	2677	2308	3.1
480	2104	2778	2358	3.1
496	2121	2878	2407	3.1
512	2137	2978	2457	3.1
528	2153	3082	2507	3.1
544	2168	3183	2556	3.1
560	2184	3285	2606	3.1
576	2198	3386	2655	3.1
592	2213	3486	2705	3.1
608	2227	3586	2755	3.1
624	2242	3687	2804	3.1
630	2247	3724	2823	NA
