"depth"	"constant"	"bad.extra"	"good.extra"	"best.extra"	"stars"
16	0	1	1	1	3
32	0	1	1	1	3
48	0	1	1	1	3
64	1	1	1	1	4
80	1	1	1	1	4
96	1	1	1	1	4
112	1	1	1	1	4
128	1	1	1	1	4
144	1	1	1	1	4
160	1	1	1	1	4
176	1	1	1	1	4
192	1	1	1	1	4
208	1	1	1	1	4
224	1	1	1	1	4
240	1	1	1	1	4
256	1	1	1	1	4
272	1	1	1	1	4
288	1	1	1	1	4
304	1	1	1	1	4
320	1	1	1	1	4
336	1	1	1	1	4
352	0	1	1	1	3
368	0	1	1	1	3
384	0	1	1	1	3
400	0	1	1	1	3
416	0	1	1	1	3
432	0	1	1	1	3
448	0	1	1	1	3
464	0	1	1	1	3
480	0	1	1	1	3
496	0	1	1	1	3
512	0	1	1	1	3
528	0	1	1	1	3
544	0	1	1	1	3
560	0	1	1	1	3
576	0	1	1	1	3
592	0	1	1	1	3
608	0	1	1	1	3
624	0	1	1	0	2
630	0	1	1	0	2
