depth	min95%	max95%	best	acc.rate
16	-174	31	-53	5.75
32	-58	127	39	5.92
48	62	226	137	6.4
64	178	336	245	7.05
80	301	443	362	7.6
96	433	555	487	8.03
112	572	680	618	8.36
128	712	810	754	8.57
144	851	943	892	8.65
160	986	1067	1030	8.55
176	1115	1192	1165	8.28
192	1242	1321	1294	7.83
208	1369	1445	1415	7.23
224	1483	1560	1525	6.51
240	1578	1662	1623	5.67
256	1652	1749	1707	4.7
272	1718	1823	1774	3.71
288	1771	1882	1828	2.96
304	1818	1932	1871	2.47
320	1858	1973	1909	2.23
336	1897	2012	1944	2.24
352	1933	2051	1981	2.36
368	1966	2101	2019	2.45
384	1995	2159	2059	2.5
400	2022	2234	2099	2.51
416	2045	2308	2139	2.51
432	2068	2382	2179	2.51
448	2085	2456	2220	2.51
464	2104	2531	2260	2.51
480	2123	2603	2300	2.51
496	2138	2677	2340	2.51
512	2156	2753	2380	2.51
528	2173	2829	2421	2.51
544	2189	2906	2461	2.51
560	2203	2980	2501	2.51
576	2218	3055	2541	2.51
592	2233	3129	2582	2.51
608	2247	3204	2622	2.51
624	2262	3278	2662	2.51
630	2267	3306	2677	NA
